rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
262,76,4,1,5,over_3_symbols,"STRUPPER_REG_REG(r1,r2) | COPY_REG_REG(r2,r1) | COPY_REG_REG(r3,r2) | LOAD_REG_INT(r4,c1)","r1=R30;r2=R25;r3=R19;r4=R29;c1=int:1","_address",14016
263,76,4,1,5,over_3_symbols,"STRUPPER_REG_REG(r1,r2) | COPY_REG_REG(r2,r1) | COPY_REG_REG(r3,r2) | REQ_REG_REG_STRING(r4,r3,c1)","r1=R12;r2=R7;r3=R3;r4=R11;c1=string@31136","_address",13857
264,75,4,1,6,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c2,r3) | MINATTRS_REG_REG_INT(r2,r4,c1)","r1=R27;r2=R42;c1=int:0;r3=R26;r4=R29;c2=label@14064","_address",14028
265,70,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | RET_REG(r4)","r1=R4;r2=R5;r3=R6;r4=R7","parseExec",6968
266,70,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | SCOPY_REG_REG(r3,r4) | UNLINK_REG(r3)","r1=R87;r2=R86;r3=R89;r4=R108","parseExec",5623
267,70,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | SCOPY_REG_REG(r2,r3) | UNLINK_REG(r2) | RET_REG(r4)","r1=R86;r2=R89;r3=R108;r4=R24","parseExec",5625
268,70,1,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | MINATTRS_REG_REG_INT(r2,r1,c2) | LINKATTR1_REG_REG_REG(r3,r2,r1) | SCOPY_REG_REG(r4,r5)","r1=R90;c1=int:1;r2=R24;c2=int:0;r3=R89;r4=R88;r5=R29","parseExec",5553
269,70,1,1,8,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r4,c3) | SWAP_REG_REG(r5,r4)","r1=R108;r2=R104;c1=int:1;r3=R105;c2=int:3;r4=R88;c3=int:256;r5=R106","parseExec",5590
270,70,1,1,9,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r4,r1,c1) | LOAD_REG_INT(r5,c2) | SETTP_REG_INT(r6,c3)","r1=R104;r2=R87;r3=R86;r4=R108;c1=int:1;r5=R105;c2=int:3;r6=R88;c3=int:256","parseExec",5586
271,70,5,2,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SCOPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BR_ID(c2)","r1=R22;r2=R16;c1=int:3;r3=R12;c2=label@2347","benchmark_rexxcps_levelb_noopt",2438
