rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
375,16,1,1,2,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2)","r1=R1;r2=R21","trace",6499
376,16,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | BEQ_ID_REG_INT(c1,r2,c2)","r1=R22;c1=label@6584;r2=R20;c2=int:0","trace",6577
377,16,3,1,2,candidate,"INC_REG(r1) | BR_ID(c1)","r1=R18;c1=label@210","benchmark_rexxcps_levelb_noopt",260
378,16,1,1,4,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | SETSTRPOS_REG_REG(r4,r1)","r1=R16;r2=R14;r3=R13;r4=R15","trace",6243
379,16,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1)","r1=R21;r2=R37;c1=int:17;r3=R1","trace",6495
380,16,1,1,2,candidate,"LOAD_REG_STRING(r1,c1) | RET()","r1=R2;c1=string@520","benchmark_rexxcps_levelb_noopt",3895
381,16,1,1,3,candidate,"LOAD_REG_STRING(r1,c1) | STRLOWER_REG_REG(r1,r2)","r1=R8;c1=string@31136;r2=R9","trace",5794
382,16,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | REQ_REG_REG_STRING(r2,r1,c1)","r1=R4;r2=R25;c1=string@31136","trace",6481
383,16,2,2,4,over_3_symbols,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4)","r1=R27;r2=R2;r3=R26;r4=R90","_address",9106
384,16,1,1,3,candidate,"STRLOWER_REG_REG(r1,r2) | COPY_REG_REG(r3,r1)","r1=R8;r2=R9;r3=R6","trace",5797
385,16,1,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | REQ_REG_REG_STRING(r2,r3,c1)","r1=R39;r2=R5;r3=R1;c1=string@31136","trace",12358
386,15,2,2,3,candidate,"COPY_REG_REG(r1,r2) | BR_ID(c1)","r1=R1;r2=R109;c1=label@24","benchmark_rexxcps_levelb_noopt",16
387,15,2,1,2,candidate,"ENDLIFE_REG(r1) | ITOS_REG(r2)","r1=R52;r2=R30","benchmark_rexxcps_levelb_noopt",821
388,15,1,1,2,candidate,"SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c1)","c1=int:1;r1=R1","trace",18520
389,15,2,2,3,candidate,"SWAP_REG_REG(r1,r2) | COPY_REG_REG(r3,r1)","r1=R54;r2=R39;r3=R46","_address",18260
390,14,1,1,3,candidate,"BCF_ID_REG(c1,r1) | NULL_REG(r2)","c1=label@2449;r1=R10;r2=R14","benchmark_rexxcps_levelb_noopt",2347
391,14,1,1,4,over_3_symbols,"BNE_ID_REG_INT(c1,r1,c2) | RET_REG(r2)","c1=label@194;r1=R16;c2=int:0;r2=R11","strip",188
392,14,1,1,3,candidate,"CONCAT_REG_REG_REG(r1,r1,r2) | CONCAT_REG_REG_STRING(r1,r1,c1)","r1=R15;r2=R28;c1=string@81824","benchmark_rexxcps_levelb_noopt",2360
393,14,1,1,4,over_3_symbols,"CONCAT_REG_REG_REG(r1,r2,r3) | NULL_REG(r4)","r1=R11;r2=R15;r3=R29;r4=R16","benchmark_rexxcps_levelb_noopt",2368
394,14,1,1,4,over_3_symbols,"CONCAT_REG_REG_STRING(r1,r1,c1) | CONCAT_REG_REG_REG(r2,r1,r3)","r1=R15;c1=string@81824;r2=R11;r3=R29","benchmark_rexxcps_levelb_noopt",2364
395,14,1,1,4,over_3_symbols,"CONCAT_REG_REG_STRING(r1,r2,c1) | CONCAT_REG_REG_REG(r1,r1,r3)","r1=R15;r2=R27;c1=string@81824;r3=R28","benchmark_rexxcps_levelb_noopt",2356
396,14,1,1,3,candidate,"CONCAT_REG_STRING_REG(r1,c1,r1) | CONCAT_REG_REG_STRING(r1,r1,c2)","r1=R79;c1=string@50440;c2=string@520","benchmark_rexxcps_levelb_noopt",1472
397,14,1,1,6,over_3_symbols,"CONCAT_REG_STRING_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c2)","r1=R15;c1=string@322392;r2=R5;r3=R10;r4=R16;c2=int:2","_address",8076
398,14,1,1,5,over_3_symbols,"CONCAT_REG_STRING_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2)","r1=R66;c1=string@35864;r2=R30;r3=R63;c2=int:3","benchmark_rexxcps_levelb_noopt",825
399,14,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | CONCAT_REG_STRING_REG(r3,c1,r4)","r1=R16;r2=R3;r3=R15;c1=string@322392;r4=R5","_address",8073
400,14,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1)","r1=R10;r2=R97;r3=R111;r4=R6;c1=int:3","parseExec",4565
401,14,1,1,3,candidate,"COPY_REG_REG(r1,r2) | NULL_REG(r3)","r1=R3;r2=R12;r3=R14","_address",8068
402,14,1,1,4,over_3_symbols,"COPY_REG_REG(r1,r2) | RNE_REG_REG_STRING(r3,r1,c1)","r1=R2;r2=R19;r3=R23;c1=string@31136","_address",9052
403,14,1,1,3,candidate,"ENDLIFE_REG(r1) | COPY_REG_REG(r2,r3)","r1=R50;r2=R83;r3=R9","_address",9966
404,14,1,1,3,candidate,"ENDLIFE_REG(r1) | IEQ_REG_REG_INT(r1,r2,c1)","r1=R38;r2=R46;c1=int:0","parseExec",1924
405,14,1,1,1,candidate,"ENDLIFE_REG(r1) | RET()","r1=R11","benchmark_rexxcps_levelb_noopt",2455
406,14,1,1,3,candidate,"FADD_REG_REG_FLOAT(r1,r1,c1) | FCOPY_REG_REG(r2,r1)","r1=R64;c1=float@37864;r2=R63","benchmark_rexxcps_levelb_noopt",910
407,14,1,1,2,candidate,"FTOS_REG(r1) | REQ_REG_REG_REG(r1,r2,r1)","r1=R63;r2=R27","benchmark_rexxcps_levelb_noopt",917
408,14,1,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_REG(r3,r1,r4)","r1=R87;r2=R100;c1=int:1;r3=R99;r4=R94","parseExec",3921
409,14,1,1,4,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | BR_ID(c1)","r1=R97;r2=R94;r3=R96;c1=label@3964","parseExec",3942
410,14,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | BNE_ID_REG_INT(c1,r1,c2)","r1=R2;r2=R21;c1=label@16525;c2=int:0","_address",16516
411,14,1,1,3,candidate,"ICOPY_REG_REG(r1,r2) | ISUB_REG_REG_INT(r1,r1,c1)","r1=R16;r2=R88;c1=int:5","_address",9223
412,14,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R14;r2=R17;r3=R16;c1=int:2","_address",8090
413,14,1,1,4,over_3_symbols,"ISUB_REG_REG_INT(r1,r1,c1) | LOAD_REG_INT(r2,c2)","r1=R16;c1=int:5;r2=R34;c2=int:2","_address",9226
414,14,1,1,4,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | IGT_REG_REG_REG(r2,r4,r1)","r1=R99;r2=R87;r3=R94;r4=R96","parseExec",3925
415,14,1,1,2,candidate,"ITOF_REG(r1) | FADD_REG_REG_FLOAT(r1,r1,c1)","r1=R64;c1=float@37864","benchmark_rexxcps_levelb_noopt",908
416,14,1,1,2,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r1,c1,r1)","r1=R79;c1=string@50440","benchmark_rexxcps_levelb_noopt",1470
417,14,1,1,3,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1)","r1=R30;r2=R66;c1=string@35864","benchmark_rexxcps_levelb_noopt",823
418,14,1,1,3,candidate,"ITOS_REG(r1) | SCONCAT_REG_REG_STRING(r2,r1,c1)","r1=R53;r2=R49;c1=string@26840","benchmark_rexxcps_levelb_noopt",452
419,14,1,1,5,over_3_symbols,"LOAD_REG_FLOAT(r1,c1) | FGT_REG_REG_REG(r2,r3,r4)","r1=R49;c1=float@28760;r2=R50;r3=R52;r4=R51","benchmark_rexxcps_levelb_noopt",546
420,14,1,1,3,candidate,"LOAD_REG_INT(r1,c1) | BCF_ID_REG(c2,r1)","r1=R10;c1=int:1;c2=label@2449","benchmark_rexxcps_levelb_noopt",2344
421,14,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r4)","r1=R34;c1=int:2;r2=R33;r3=R21;r4=R16","_address",9230
422,14,1,1,4,over_3_symbols,"LOAD_REG_STRING(r1,c1) | CONCAT_REG_REG_STRING(r2,r1,c2)","r1=R29;c1=string@26040;r2=R48;c2=string@26552","benchmark_rexxcps_levelb_noopt",436
423,14,1,1,4,over_3_symbols,"LOAD_REG_STRING(r1,c1) | SEQ_REG_REG_STRING(r2,r1,c2)","r1=R27;c1=string@40288;r2=R69;c2=string@40648","benchmark_rexxcps_levelb_noopt",1051
424,14,1,1,4,over_3_symbols,"NULL_REG(r1) | CONCAT_REG_REG_STRING(r2,r3,c1)","r1=R12;r2=R15;r3=R27;c1=string@81824","benchmark_rexxcps_levelb_noopt",2354
425,14,1,1,4,over_3_symbols,"NULL_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R0;r2=R3;r3=R23;c1=int:2","_address",7945
426,14,1,1,3,candidate,"REQ_REG_REG_REG(r1,r2,r1) | BRF_ID_REG(c1,r1)","r1=R63;r2=R27;c1=label@930","benchmark_rexxcps_levelb_noopt",919
427,14,1,1,5,over_3_symbols,"SCONCAT_REG_REG_STRING(r1,r2,c1) | LOAD_REG_INT(r3,c2)","r1=R49;r2=R53;c1=string@26840;r3=R50;c2=int:6","benchmark_rexxcps_levelb_noopt",454
428,14,1,1,4,over_3_symbols,"SCOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4)","r1=R26;r2=R90;r3=R29;r4=R91","_address",9109
429,14,1,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | GETATTRS_REG_REG_INT(r3,r4,c1)","r1=R103;r2=R108;r3=R110;r4=R24;c1=int:0","parseExec",4541
430,14,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_INT(r2,c1)","r1=R7;r2=R10;c1=int:3","_address",17741
431,14,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | RET_INT(c1)","r1=R25;r2=R3;c1=int:0","_address",16525
432,14,1,1,4,over_3_symbols,"SCOPY_REG_REG(r1,r2) | SETATTRS_REG_INT(r3,c1)","r1=R5;r2=R0;r3=R6;c1=int:7","_address",7975
