rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
285,4,4,1,3,candidate,"APPEND_REG_REG(r1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c1)","r1=R32;r2=R29;c1=string@11824","benchmark_rexxcps_levelb_opt",212
286,4,2,1,5,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_REG(r2,r3,r4)","c1=label@1029;r1=R52;r2=R40;r3=R31;r4=R2","_typedformat",723
287,4,2,1,3,candidate,"IGT_REG_REG_REG(r1,r2,r1) | BRF_ID_REG(c1,r1)","r1=R60;r2=R21;c1=label@970","_typedformat",959
288,4,4,1,3,candidate,"LOAD_REG_FLOAT(r1,c1) | LOAD_REG_FLOAT(r2,c1)","r1=R21;c1=float@14240;r2=R22","benchmark_rexxcps_levelb_opt",254
289,4,3,2,4,candidate,"LOAD_REG_INT(r1,c1) | STRLEN_REG_REG(r2,r3)","r1=R32;c1=int:46;r2=R27;r3=R28","_typedformat",207
290,4,4,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2)","r1=R32;c1=string@11824;r2=R23","benchmark_rexxcps_levelb_opt",215
291,4,2,1,4,candidate,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)","r1=R20;r2=R51;r3=R21;r4=R37","_typedformat",757
292,4,2,1,3,candidate,"SUBSTRING_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r2,r1)","r1=R51;r2=R20;r3=R37","_typedformat",753
293,3,2,2,5,candidate,"BRF_ID_REG(c1,r1) | ILT_REG_REG_INT(r2,r3,c2)","c1=label@70;r1=R66;r2=R45;r3=R2;c2=int:0","_typedformat",59
294,3,2,2,5,candidate,"BRT_ID_REG(c1,r1) | SEQ_REG_REG_STRING(r2,r3,c2)","c1=label@87;r1=R0;r2=R11;r3=R1;c2=string@975576","floatformat",76
295,3,2,2,5,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_REG(r3,r4,r1)","r1=R59;r2=R21;c1=int:1;r3=R58;r4=R60","_typedformat",1139
296,3,3,2,5,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | ISUB_REG_REG_INT(r4,r1,c1)","r1=R60;r2=R48;r3=R55;r4=R54;c1=int:1","_typedformat",859
297,3,2,1,4,candidate,"LOAD_REG_FLOAT(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R27;c1=float@14240;r2=R32;c2=int:1","benchmark_rexxcps_levelb_opt",266
298,3,2,2,4,candidate,"LOAD_REG_INT(r1,c1) | BCTP_ID_REG(c2,r2)","r1=R18;c1=int:1;c2=label@336;r2=R34","benchmark_rexxcps_levelb_opt",1068
299,3,2,2,5,candidate,"POSCHAR_REG_REG_REG(r1,r2,r3) | IGTE_REG_REG_INT(r4,r1,c1)","r1=R11;r2=R28;r3=R22;r4=R47;c1=int:0","_typedformat",228
300,3,2,2,5,candidate,"POSCHAR_REG_REG_REG(r1,r2,r3) | ILT_REG_REG_INT(r4,r1,c1)","r1=R33;r2=R23;r3=R32;r4=R48;c1=int:0","_typedformat",343
301,3,2,2,3,candidate,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2)","r1=R1;c1=int:22;c2=string@35","trace",11977
302,3,3,2,4,candidate,"SUBSTRING_REG_REG_REG(r1,r2,r3) | APPEND_REG_REG(r4,r1)","r1=R59;r2=R20;r3=R2;r4=R0","_typedformat",1048
303,2,1,1,4,candidate,"APPENDCHAR_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1)","r1=R34;r2=R10;r3=R42;c1=int:1","_typedformat",1237
304,2,1,1,4,candidate,"APPEND_REG_REG(r1,r2) | BRF_ID_REG(c1,r3)","r1=R34;r2=R0;c1=label@1349;r3=R38","_typedformat",1246
305,2,1,1,5,candidate,"BGE_ID_REG_INT(c1,r1,c2) | POSCHAR_REG_REG_REG(r1,r2,r3)","c1=label@232;r1=R11;c2=int:0;r2=R28;r3=R22","_typedformat",224
306,2,1,1,5,candidate,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_REG(r2,r3,r4)","c1=label@1243;r1=R57;r2=R56;r3=R10;r4=R44","_typedformat",1207
307,2,1,1,3,candidate,"BRF_ID_REG(c1,r1) | NOT_REG_REG(r1,r2)","c1=label@128;r1=R45;r2=R66","_typedformat",122
308,2,1,1,4,candidate,"BRT_ID_REG(c1,r1) | ICOPY_REG_REG(r2,r3)","c1=label@429;r1=R68;r2=R48;r3=R70","_typedformat",419
309,2,1,1,4,candidate,"BRT_ID_REG(c1,r1) | LOAD_REG_FLOAT(r2,c2)","c1=label@1074;r1=R32;r2=R22;c2=float@14240","benchmark_rexxcps_levelb_opt",340
310,2,1,1,6,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_REG(r4,r5,r6)","r1=R20;r2=R5;r3=R0;r4=R21;r5=R6;r6=R1","_typedformat",630
311,2,2,1,4,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2)","r1=R32;c1=string@11312;r2=R19;c2=string@11456","benchmark_rexxcps_levelb_opt",198
312,2,1,1,4,candidate,"FCOPY_REG_REG(r1,r2) | FGT_REG_REG_FLOAT(r3,r2,c1)","r1=R12;r2=R22;r3=R93;c1=float@64512","benchmark_rexxcps_levelb_opt",1012
313,2,1,1,2,candidate,"FCOPY_REG_REG(r1,r2) | FTOS_REG(r1)","r1=R1;r2=R26","floatformat",60
314,2,2,1,5,candidate,"FDIV_REG_FLOAT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2)","r1=R95;c1=float@64512;r2=R22;r3=R94;c2=int:2","benchmark_rexxcps_levelb_opt",1044
315,2,1,1,4,candidate,"FGT_REG_REG_FLOAT(r1,r2,c1) | BRT_ID_REG(c2,r1)","r1=R93;r2=R22;c1=float@64512;c2=label@1026","benchmark_rexxcps_levelb_opt",1015
316,2,1,1,3,candidate,"FTOS_REG(r1) | SEQ_REG_REG_STRING(r2,r1,c1)","r1=R1;r2=R0;c1=string@975496","floatformat",63
317,2,1,1,5,candidate,"GETANDTP_REG_REG_INT(r1,r2,c1) | FCOPY_REG_REG(r3,r4)","r1=R9;r2=R30;c1=int:256;r3=R1;r4=R26","floatformat",56
318,2,1,1,5,candidate,"IADD_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_REG(r3,r4,r1)","r1=R40;r2=R33;c1=int:1;r3=R1;r4=R24","_typedformat",388
319,2,1,1,4,candidate,"IADD_REG_REG_REG(r1,r2,r3) | IGT_REG_REG_REG(r1,r4,r1)","r1=R60;r2=R31;r3=R2;r4=R21","_typedformat",955
