rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
34,652400,1,1,3,candidate,"STOD_REG(r1) | DGT_REG_REG_REG(r1,r2,r1) | BRF_ID_REG(c1,r1)","r1=R72;r2=R25;c1=label@560","benchmark_rexxcps_levelb_opt",549
35,629100,2,1,5,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_STRING(r2,c2) | LOAD_REG_STRING(r3,c2)","c1=label@746;r1=R79;r2=R75;c2=string@44032;r3=R72","benchmark_rexxcps_levelb_opt",713
36,629100,2,1,3,candidate,"DMULT_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r2,r1) | DTOS_REG(r2)","r1=R72;c1=decimal@35552;r2=R76","benchmark_rexxcps_levelb_opt",731
37,629100,2,1,4,candidate,"DTOS_REG(r1) | STEMSET_REG_REG_REG(r2,r3,r1) | BR_ID(c1)","r1=R76;r2=R8;r3=R75;c1=label@756","benchmark_rexxcps_levelb_opt",738
38,629100,2,1,5,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_STRING(r2,c1) | STEMGET_REG_REG_REG(r3,r4,r2)","r1=R75;c1=string@44032;r2=R72;r3=R67;r4=R8","benchmark_rexxcps_levelb_opt",716
39,629100,2,1,4,candidate,"LOAD_REG_STRING(r1,c1) | STEMGET_REG_REG_REG(r2,r3,r1) | SCOPY_REG_REG(r1,r2)","r1=R72;c1=string@44032;r2=R67;r3=R8","benchmark_rexxcps_levelb_opt",719
40,629100,2,1,6,candidate,"RNE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_STRING(r3,c3)","r1=R79;r2=R41;c1=string@1272;c2=label@746;r3=R75;c3=string@44032","benchmark_rexxcps_levelb_opt",709
41,629100,2,1,3,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1) | DMULT_REG_REG_DECIMAL(r1,r1,c1)","r1=R72;r2=R67;c1=decimal@35552","benchmark_rexxcps_levelb_opt",726
42,629100,2,1,3,candidate,"STOD_REG(r1) | DMULT_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r2,r1)","r1=R72;c1=decimal@35552;r2=R76","benchmark_rexxcps_levelb_opt",729
43,326600,2,2,8,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r4,r5,r6,r7)","r1=R64;r2=R51;r3=R63;c1=label@442;r4=R13;r5=R11;r6=R10;r7=R9","benchmark_rexxcps_levelb_opt",457
44,326600,2,2,6,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1)","r1=R9;r2=R1;r3=R10;r4=R2;r5=R20;c1=int:1","benchmark_rexxcps_levelb_opt",1246
45,326200,1,1,5,candidate,"APPEND_REG_REG(r1,r2) | CONCAT_REG_REG_STRING(r1,r1,c1) | CONCAT_REG_REG_REG(r3,r1,r4)","r1=R21;r2=R27;c1=string@80584;r3=R19;r4=R28","benchmark_rexxcps_levelb_opt",1267
46,326200,1,1,9,candidate,"BCF_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5) | CONCAT_REG_REG_STRING(r6,r7,c2)","c1=label@1297;r1=R20;r2=R12;r3=R13;r4=R14;r5=R15;r6=R21;r7=R26;c2=string@80584","benchmark_rexxcps_levelb_opt",1255
47,326200,1,1,10,candidate,"BRT_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5) | NULLN_REG_REG_REG_REG(r6,r7,r8,r9)","c1=label@442;r1=R64;r2=R13;r3=R11;r4=R10;r5=R9;r6=R7;r7=R6;r8=R5;r9=R3","benchmark_rexxcps_levelb_opt",461
