entry,count_rank,total_time_rank,average_latency_rank,name,count,total_ns,average_ns,min_ns,max_ns,percent,status
rexxcps-opaque-stripped,34,48,91,SETNUMCAS_INT,1141,15391,13,0,166,0.065401,complete
rexxcps-opaque-stripped,37,37,67,SETNUMDGTS_INT,1139,24954,21,0,917,0.106037,complete
rexxcps-opaque-stripped,37,50,105,SETNUMFRM_INT,1139,14508,12,0,125,0.061649,complete
rexxcps-opaque-stripped,39,4,17,CALL_REG_FUNC_REG,1103,278758,252,41,4333,1.184527,complete
rexxcps-opaque-stripped,40,49,91,ISUB_REG_REG_REG,1093,14826,13,0,125,0.063000,complete
rexxcps-opaque-stripped,41,43,71,SETSTRPOS_REG_REG,988,19411,19,0,917,0.082483,complete
rexxcps-opaque-stripped,41,44,74,SUBSTRING_REG_REG_REG,988,18404,18,0,292,0.078204,complete
rexxcps-opaque-stripped,43,54,105,ILTE_REG_REG_REG,980,12665,12,0,166,0.053817,complete
rexxcps-opaque-stripped,44,52,91,BRTPANDT_ID_REG_INT,952,13076,13,0,1708,0.055564,complete
rexxcps-opaque-stripped,45,51,80,IGTE_REG_REG_INT,932,14462,15,0,2125,0.061453,complete
rexxcps-opaque-stripped,46,34,49,REQ_REG_REG_REG,740,25911,35,0,375,0.110104,complete
rexxcps-opaque-stripped,47,22,36,RET_REG,707,42117,59,0,792,0.178968,complete
rexxcps-opaque-stripped,48,33,46,REQ_REG_REG_STRING,699,27277,39,0,500,0.115908,complete
rexxcps-opaque-stripped,49,40,54,RNE_REG_REG_STRING,647,21711,33,0,167,0.092257,complete
rexxcps-opaque-stripped,50,61,91,BNE_ID_REG_INT,530,7168,13,0,250,0.030459,complete
rexxcps-opaque-stripped,51,56,58,STRUPPER_REG_REG,441,11165,25,0,2417,0.047443,complete
rexxcps-opaque-stripped,52,65,83,BRTF_ID_ID_REG,408,5794,14,0,333,0.024620,complete
rexxcps-opaque-stripped,53,66,83,FNDNBLNK_REG_REG_REG,397,5633,14,0,291,0.023936,complete
rexxcps-opaque-stripped,54,63,80,GETATTRS_REG_REG_INT,395,6251,15,0,958,0.026562,complete
rexxcps-opaque-stripped,55,68,91,NOT_REG_REG,393,5450,13,0,208,0.023159,complete
rexxcps-opaque-stripped,56,55,55,RET,358,11320,31,0,333,0.048102,complete
rexxcps-opaque-stripped,57,72,77,GETANDTP_REG_REG_INT,289,4913,17,0,1208,0.020877,complete
rexxcps-opaque-stripped,58,67,71,MINATTRS_REG_INT,284,5587,19,0,1542,0.023741,complete
rexxcps-opaque-stripped,59,62,58,ASSERTINITIALIZED_REG,269,6791,25,0,292,0.028857,complete
rexxcps-opaque-stripped,60,53,42,SETATTRS_REG_INT,264,13007,49,0,3584,0.055271,complete
rexxcps-opaque-stripped,61,71,70,BGE_ID_REG_INT,235,4917,20,0,1042,0.020894,complete
rexxcps-opaque-stripped,62,82,105,ISUB_REG_INT_REG,232,2998,12,0,333,0.012739,complete
rexxcps-opaque-stripped,63,70,60,CONCAT_REG_REG_STRING,217,5121,23,0,83,0.021761,complete
rexxcps-opaque-stripped,64,60,40,ITOS_REG,172,8791,51,0,333,0.037356,complete
rexxcps-opaque-stripped,65,86,83,BGT_ID_REG_REG,168,2415,14,0,125,0.010262,complete
rexxcps-opaque-stripped,66,87,83,SEQ_REG_REG_REG,166,2414,14,0,84,0.010258,complete
rexxcps-opaque-stripped,67,81,63,CONCAT_REG_REG_REG,143,3249,22,0,208,0.013806,complete
rexxcps-opaque-stripped,68,76,49,STOI_REG,114,4082,35,0,416,0.017346,complete
rexxcps-opaque-stripped,69,85,67,SETOBJUNINIT_REG_STRING,111,2420,21,0,417,0.010283,complete
rexxcps-opaque-stripped,70,97,74,BCOPY_REG_REG,84,1581,18,0,333,0.006718,complete
rexxcps-opaque-stripped,71,79,45,STOD_REG,83,3455,41,0,1000,0.014681,complete
rexxcps-opaque-stripped,72,94,60,BLE_ID_REG_INT,73,1710,23,0,292,0.007266,complete
rexxcps-opaque-stripped,73,106,105,BLE_ID_REG_REG,70,873,12,0,83,0.003710,complete
rexxcps-opaque-stripped,74,100,67,FCOPY_REG_REG,61,1334,21,0,250,0.005669,complete
rexxcps-opaque-stripped,75,45,13,FTOS_REG,60,18330,305,166,4042,0.077890,complete
rexxcps-opaque-stripped,76,78,34,RET_INT,58,3625,62,0,417,0.015404,complete
rexxcps-opaque-stripped,77,69,28,DTOS_REG,57,5377,94,0,583,0.022848,complete
rexxcps-opaque-stripped,77,90,49,DCOPY_REG_REG,57,2037,35,0,208,0.008656,complete
rexxcps-opaque-stripped,79,84,44,SETOBJTYPE_REG_STRING,52,2459,47,0,1000,0.010449,complete
rexxcps-opaque-stripped,79,93,53,LOAD_REG_FLOAT,52,1792,34,0,375,0.007615,complete
rexxcps-opaque-stripped,81,98,57,BEQ_ID_REG_INT,51,1456,28,0,208,0.006187,complete
rexxcps-opaque-stripped,82,42,10,DCALL_REG_REG_REG,49,20212,412,166,2584,0.085887,complete
rexxcps-opaque-stripped,83,104,63,BGE_ID_REG_REG,44,998,22,0,333,0.004241,complete
rexxcps-opaque-stripped,84,80,30,SRCMETHODSEL_REG_REG_STRING,42,3328,79,0,458,0.014142,complete
rexxcps-opaque-stripped,84,96,47,CONCAT_REG_STRING_REG,42,1621,38,0,167,0.006888,complete
rexxcps-opaque-stripped,84,103,60,FGT_REG_REG_REG,42,1001,23,0,250,0.004254,complete
rexxcps-opaque-stripped,87,112,78,BNE_ID_REG_REG,37,623,16,0,125,0.002647,complete
rexxcps-opaque-stripped,88,57,16,ASSERTTYPE_REG_STRING,35,9205,263,166,583,0.039115,complete
rexxcps-opaque-stripped,88,88,33,SEQ_REG_REG_STRING,35,2333,66,0,834,0.009914,complete
rexxcps-opaque-stripped,90,107,63,BPOFF,33,755,22,0,209,0.003208,complete
rexxcps-opaque-stripped,91,83,30,BCF_ID_REG,32,2539,79,0,2084,0.010789,complete
rexxcps-opaque-stripped,91,101,49,STRPOS_REG_REG_REG,32,1127,35,0,458,0.004789,complete
rexxcps-opaque-stripped,91,116,78,BTOI_REG,32,540,16,0,83,0.002295,complete
rexxcps-opaque-stripped,94,59,14,FTOD_REG,30,8913,297,166,1042,0.037874,complete
rexxcps-opaque-stripped,94,95,39,RET_STRING,30,1627,54,0,250,0.006914,complete
rexxcps-opaque-stripped,94,102,48,FADD_REG_REG_REG,30,1122,37,0,416,0.004768,complete
rexxcps-opaque-stripped,97,92,32,FNDBLNK_REG_REG_REG,29,2001,69,0,1041,0.008503,complete
rexxcps-opaque-stripped,98,74,19,DADD_REG_REG_DECIMAL,28,4708,168,83,1041,0.020006,complete
rexxcps-opaque-stripped,98,77,22,DGT_REG_REG_REG,28,3833,136,0,2000,0.016288,complete
rexxcps-opaque-stripped,98,99,42,FEQ_REG_REG_FLOAT,28,1378,49,0,333,0.005856,complete
rexxcps-opaque-stripped,98,112,63,FLT_REG_REG_FLOAT,28,623,22,0,166,0.002647,complete
rexxcps-opaque-stripped,102,73,18,DMULT_REG_REG_DECIMAL,27,4709,174,83,1625,0.020010,complete
rexxcps-opaque-stripped,103,105,41,APPEND_REG_REG,19,958,50,0,542,0.004071,complete
rexxcps-opaque-stripped,104,91,23,STRLOWER_REG_REG,16,2003,125,0,1417,0.008511,complete
rexxcps-opaque-stripped,105,117,38,APPENDCHAR_REG_REG,8,459,57,0,333,0.001950,complete
rexxcps-opaque-stripped,106,1,1,SRCFPROCSEL_REG_STRING_REG,7,19651167,2807309,2702125,2977250,83.503746,complete
rexxcps-opaque-stripped,106,75,7,ISTYPE_REG_REG_STRING,7,4168,595,417,875,0.017711,complete
rexxcps-opaque-stripped,106,118,36,ITOF_REG,7,417,59,0,167,0.001772,complete
rexxcps-opaque-stripped,109,108,26,POSCHAR_REG_REG_REG,6,748,124,41,250,0.003178,complete
rexxcps-opaque-stripped,110,64,5,SAY_REG,5,6042,1208,500,2000,0.025674,complete
rexxcps-opaque-stripped,110,109,21,SCONCAT_REG_STRING_REG,5,708,141,41,250,0.003009,complete
rexxcps-opaque-stripped,112,5,2,MTIME_REG,4,198334,49583,334,196708,0.842781,complete
rexxcps-opaque-stripped,112,58,3,SAY_STRING,4,9083,2270,375,6875,0.038596,complete
rexxcps-opaque-stripped,112,111,20,FDIV_REG_REG_FLOAT,4,625,156,0,417,0.002656,complete
rexxcps-opaque-stripped,112,118,27,SCONCAT_REG_REG_STRING,4,417,104,41,208,0.001772,complete
rexxcps-opaque-stripped,116,122,29,FDIV_REG_REG_REG,3,249,83,41,125,0.001058,complete
rexxcps-opaque-stripped,117,115,15,STOF_REG,2,541,270,166,375,0.002299,complete
rexxcps-opaque-stripped,117,123,34,SAPPEND_REG_REG,2,125,62,42,83,0.000531,complete
rexxcps-opaque-stripped,119,89,4,RXVERS_REG,1,2125,2125,2125,2125,0.009030,complete
rexxcps-opaque-stripped,119,109,6,JUMPR_REG_BINARY,1,708,708,708,708,0.003009,complete
rexxcps-opaque-stripped,119,114,8,FSUB_REG_REG_REG,1,542,542,542,542,0.002303,complete
rexxcps-opaque-stripped,119,118,9,BLT_ID_REG_INT,1,417,417,417,417,0.001772,complete
rexxcps-opaque-stripped,119,121,12,RNE_REG_REG_REG,1,334,334,334,334,0.001419,complete
rexxcps-opaque-stripped,119,123,23,INE_REG_REG_REG,1,125,125,125,125,0.000531,complete
rexxcps-opaque-stripped,119,123,23,FDIV_REG_FLOAT_REG,1,125,125,125,125,0.000531,complete
