rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,12515000,87,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6)","r1=R25;r2=R16;r3=R26;r4=R20;r5=R27;r6=R21","rxjson",1169
232,5000,1,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | STRLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1)","r1=R11;c1=int:0;r2=R12;r3=R3","rxjson",9219
233,5000,1,1,6,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3)","r1=R8;c1=string@5336;r2=R6;c2=int:2;r3=R7;c3=int:256","benchmark_json_parser_opt",85
234,5000,1,1,6,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_STRING(r2,c2) | LOAD_REG_INT(r3,c3)","r1=R7;c1=string@3224;r2=R8;c2=string@5336;r3=R6;c3=int:2","benchmark_json_parser_opt",82
235,5000,1,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | LOAD_REG_INT(r4,c1)","r1=R41;r2=R0;c1=int:0;r3=R38;r4=R36","rxjson",10665
236,5000,1,1,6,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | LOAD_REG_INT(r4,c2)","r1=R43;r2=R0;c1=int:0;r3=R33;r4=R31;c2=int:-1","rxjson",11019
237,5000,1,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | SCOPY_REG_REG(r3,r4)","r1=R42;r2=R0;c1=int:0;r3=R38;r4=R9","rxjson",10681
238,5000,1,1,6,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | SCOPY_REG_REG(r4,r5)","r1=R44;r2=R0;c1=int:0;r3=R38;r4=R36;r5=R9","rxjson",11035
239,5000,1,1,5,over_3_symbols,"NULL_REG(r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R21;r2=R33;r3=R0;r4=R28;r5=R5","rxjson",1485
240,5000,1,1,4,over_3_symbols,"NULL_REG(r1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1)","r1=R0;r2=R5;c1=int:0;r3=R2","rxjson",1118
241,5000,1,1,4,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | COPY_REG_REG(r3,r4)","r1=R24;r2=R21;r3=R33;r4=R0","rxjson",1483
242,5000,1,1,5,over_3_symbols,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | SCOPY_REG_REG(r4,r5)","r1=R21;r2=R13;r3=R97;r4=R16;r5=R98","rxjson",1138
243,5000,1,1,5,over_3_symbols,"RGTE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | RLTE_REG_REG_STRING(r1,r2,c3)","r1=R31;r2=R34;c1=string@324776;c2=label@10941;c3=string@2197360","rxjson",10930
244,5000,1,1,6,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ISUB_REG_REG_REG(r5,r6,r4)","r1=R24;r2=R40;r3=R27;r4=R10;r5=R35;r6=R1","rxjson",10451
245,5000,1,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | RGTE_REG_REG_STRING(r3,r1,c1) | BRF_ID_REG(c2,r3)","r1=R34;r2=R16;r3=R31;c1=string@324776;c2=label@10941","rxjson",10927
246,5000,1,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r1)","r1=R13;r2=R97;r3=R16;r4=R98;r5=R0","rxjson",1140
247,5000,1,1,4,over_3_symbols,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | STOBIN_REG(r3)","r1=R16;r2=R98;r3=R0;r4=R13","rxjson",1143
248,5000,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | STOBIN_REG(r1) | BCOPY_REG_REG(r3,r1)","r1=R36;r2=R9;r3=R38","rxjson",11043
249,5000,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | STOBIN_REG(r1) | COPY_REG_REG(r3,r1)","r1=R0;r2=R13;r3=R22","rxjson",1146
250,5000,1,1,2,candidate,"SCOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | SCOPY_REG_REG(r1,r2)","r1=R38;r2=R9","rxjson",10689
251,5000,1,1,2,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1)","c1=int:1;r1=R0","rxjson",1114
252,5000,1,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | SCOPY_REG_REG(r1,r2)","c1=int:1;r1=R9;r2=R40","rxjson",9179
253,5000,1,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | NULL_REG(r1) | LOAD_REG_INT(r2,c2)","c1=int:1;r1=R0;r2=R5;c2=int:0","rxjson",1116
254,5000,1,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | SCOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c2)","c1=int:1;r1=R9;r2=R40;r3=R8;c2=int:0","rxjson",9181
255,5000,1,1,7,over_3_symbols,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | CALL_REG_FUNC_REG(r3,c3,r4)","r1=R7;c1=int:256;r2=R8;c2=int:768;r3=R2;c3=func@5472;r4=R6","benchmark_json_parser_opt",91
256,5000,1,1,2,candidate,"STOBIN_REG(r1) | BCOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R36;r2=R38","rxjson",11046
257,5000,1,1,4,over_3_symbols,"STOBIN_REG(r1) | COPY_REG_REG(r2,r1) | LOAD_REG_INT(r3,c1)","r1=R0;r2=R22;r3=R23;c1=int:0","rxjson",1149
258,5000,1,1,5,over_3_symbols,"STRLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | ILTE_REG_REG_REG(r4,r5,r3)","r1=R11;r2=R12;r3=R3;r4=R8;r5=R1","rxjson",9222
259,5000,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r3,c1) | BRF_ID_REG(c2,r3)","r1=R1;r2=R37;r3=R38;c1=int:0;c2=label@1342","rxjson",1327
260,5000,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | ILT_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R17;r2=R29;r3=R18;c1=int:0;c2=label@1218","rxjson",1200
261,5000,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | IEQ_REG_REG_INT(r5,r5,c1)","r1=R3;r2=R36;r3=R1;r4=R37;r5=R38;c1=int:0","rxjson",1324
262,5000,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | ILT_REG_REG_INT(r4,r5,c1)","r1=R19;r2=R28;r3=R17;r4=R29;r5=R18;c1=int:0","rxjson",1197
263,5000,1,1,5,over_3_symbols,"UNLINK_REG(r1) | MINATTRS_REG_REG_INT(r2,r3,c1) | LINKATTR1_REG_REG_REG(r4,r2,r3)","r1=R33;r2=R44;r3=R0;c1=int:0;r4=R38","rxjson",11033
264,5000,1,1,3,candidate,"UNLINK_REG(r1) | SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r1)","r1=R38;r2=R9;r3=R35","rxjson",10692
265,1,1,1,3,candidate,"APPEND_REG_REG(r1,r2) | SAY_REG(r1) | SAY_STRING(c1)","r1=R8;r2=R2;c1=string@8352","benchmark_json_parser_opt",149
266,1,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | MINATTRS_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r2,c2)","c1=label@50;r1=R4;r2=R0;c2=int:1;r3=R5","benchmark_json_parser_opt",33
267,1,1,1,5,over_3_symbols,"BRTPANDT_ID_REG_INT(c1,r1,c2) | COPY_REG_REG(r2,r1) | BR_ID(c3)","c1=label@19;r1=R10;c2=int:512;r2=R0;c3=label@22","benchmark_json_parser_opt",10
268,1,1,1,5,over_3_symbols,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3)","r1=R8;c1=string@7752;r2=R1;c2=string@7912;r3=R2","benchmark_json_parser_opt",139
269,1,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2)","r1=R5;r2=R1;r3=R8;c1=string@7752","benchmark_json_parser_opt",135
270,1,1,1,5,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","r1=R4;r2=R0;c1=int:0;c2=int:1;c3=label@50","benchmark_json_parser_opt",25
271,1,1,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | ILT_REG_REG_INT(r2,r1,c1)","r1=R1;r2=R5;c1=int:1","benchmark_json_parser_opt",45
272,1,1,1,4,over_3_symbols,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINATTRS_REG_INT(r2,c1)","r1=R4;c1=int:1;c2=label@50;r2=R0","benchmark_json_parser_opt",29
273,1,1,1,2,candidate,"ITOS_REG(r1) | APPEND_REG_REG(r2,r1) | SAY_REG(r2)","r1=R2;r2=R8","benchmark_json_parser_opt",147
274,1,1,1,4,over_3_symbols,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2)","r1=R1;r2=R8;c1=string@7752;c2=string@7912","benchmark_json_parser_opt",137
275,1,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | ICOPY_REG_REG(r3,r1)","r1=R5;r2=R0;c1=int:1;r3=R1","benchmark_json_parser_opt",39
276,1,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1)","r1=R1;c1=int:1;r2=R4;r3=R0;c2=int:0","benchmark_json_parser_opt",22
277,1,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2)","r1=R5;c1=int:1;r2=R4;r3=R1;c2=label@135","benchmark_json_parser_opt",72
278,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4)","r1=R2;c1=int:0;r2=R5;c2=int:1;r3=R4;r4=R1","benchmark_json_parser_opt",69
279,1,1,1,3,candidate,"MINATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | STOI_REG(r2)","r1=R0;c1=int:1;r2=R5","benchmark_json_parser_opt",36
280,1,1,1,3,candidate,"SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R8;c1=string@8352;c2=int:0","benchmark_json_parser_opt",152
281,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | APPEND_REG_REG(r1,r2)","r1=R8;c1=string@7912;r2=R2","benchmark_json_parser_opt",143
282,1,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:1;c2=label@19;r1=R10;c3=int:512","benchmark_json_parser_opt",6
283,1,1,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1)","c1=int:1;c2=label@19;r1=R10;c3=int:512;r2=R0","benchmark_json_parser_opt",8
284,1,1,1,2,candidate,"STOI_REG(r1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r1)","r1=R5;r2=R1","benchmark_json_parser_opt",43
285,1,1,1,4,over_3_symbols,"UNLINK_REG(r1) | ILT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R5;r2=R1;c1=int:1;c2=label@69","benchmark_json_parser_opt",48
