rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,6169002,64,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | ENDLIFE_REG(r4)","r1=R7;r2=R6;r3=R28;r4=R29","benchmark_base64_roundtrip_opt",361
173,500,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c2)","c1=int:1;r1=R6;r2=R8;r3=R41;r4=R7;c2=int:0","benchmark_base64_roundtrip_opt",782
174,500,1,1,6,over_3_symbols,"STRLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | NULL_REG(r5)","r1=R7;r2=R8;r3=R1;r4=R5;c1=int:0;r5=R9","benchmark_base64_roundtrip_opt",792
175,2,2,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | STRLEN_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | BR_ID(c2)","r1=R39;c1=int:0;r2=R38;r3=R37;c2=label@417","benchmark_base64_roundtrip_opt",406
176,2,2,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | STRLEN_REG_REG(r3,r1) | ICOPY_REG_REG(r4,r3)","r1=R38;r2=R3;r3=R39;c1=int:0;r4=R37","benchmark_base64_roundtrip_opt",403
177,1,1,1,4,over_3_symbols,"APPEND_REG_REG(r1,r2) | SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R38;r2=R1;c1=string@44312;c2=int:0","benchmark_base64_roundtrip_opt",765
178,1,1,1,7,over_3_symbols,"BCMPB_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRF_ID_REG(c2,r4) | LOAD_REG_INT(r5,c1)","r1=R33;r2=R39;r3=R37;r4=R32;c1=int:0;c2=label@517;r5=R31","benchmark_base64_roundtrip_opt",498
179,1,1,1,6,over_3_symbols,"BLEN_REG_REG(r1,r2) | BLEN_REG_REG(r3,r4) | IEQ_REG_REG_REG(r5,r1,r3) | BRF_ID_REG(c1,r5)","r1=R38;r2=R39;r3=R36;r4=R37;r5=R34;c1=label@519","benchmark_base64_roundtrip_opt",482
180,1,1,1,7,over_3_symbols,"BLEN_REG_REG(r1,r2) | IEQ_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c1,r3) | LOAD_REG_INT(r5,c2)","r1=R36;r2=R37;r3=R34;r4=R38;c1=label@519;r5=R33;c2=int:0","benchmark_base64_roundtrip_opt",485
181,1,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | BCMPB_REG_REG_REG(r2,r3,r4) | IEQ_REG_REG_INT(r5,r2,c2)","c1=label@519;r1=R34;r2=R33;c2=int:0;r3=R39;r4=R37;r5=R32","benchmark_base64_roundtrip_opt",492
182,1,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r2) | BR_ID(c3)","c1=label@517;r1=R32;r2=R31;c2=int:0;r3=R33;c3=label@606","benchmark_base64_roundtrip_opt",506
183,1,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | MINATTRS_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r2,c2) | STOI_REG(r3)","c1=label@40;r1=R7;r2=R44;c2=int:1;r3=R8","benchmark_base64_roundtrip_opt",23
184,1,1,1,8,over_3_symbols,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r3,r1,c2) | SCOPY_REG_REG(r4,r5) | LOAD_REG_INT(r1,c3)","r1=R39;c1=string@42280;r2=R5;r3=R42;c2=string@42440;r4=R38;r5=R3;c3=int:0","benchmark_base64_roundtrip_opt",722
185,1,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1) | LOAD_REG_INT(r6,c1)","r1=R39;r2=R4;r3=R37;r4=R2;r5=R38;c1=int:0;r6=R36","benchmark_base64_roundtrip_opt",470
186,1,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | BLEN_REG_REG(r3,r1) | ICOPY_REG_REG(r4,r3)","r1=R38;r2=R41;r3=R37;c1=int:0;r4=R36","benchmark_base64_roundtrip_opt",644
187,1,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c1) | BLEN_REG_REG(r3,r5)","r1=R37;r2=R2;r3=R38;c1=int:0;r4=R36;r5=R39","benchmark_base64_roundtrip_opt",473
188,1,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c1) | COPY_REG_REG(r5,r1)","r1=R41;r2=R2;r3=R40;c1=int:0;r4=R39;r5=R38","benchmark_base64_roundtrip_opt",635
189,1,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2) | IGT_REG_REG_REG(r5,r3,r4)","r1=R10;r2=R13;r3=R8;c1=int:0;r4=R7;c2=int:1023;r5=R6","benchmark_base64_roundtrip_opt",73
190,1,1,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | LOAD_REG_INT(r4,c2) | IGT_REG_REG_REG(r5,r4,r6)","r1=R4;r2=R9;r3=R3;c1=string@288;r4=R14;c2=int:1;r5=R8;r6=R5","benchmark_base64_roundtrip_opt",110
191,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | COPY_REG_REG(r2,r3) | INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R39;r2=R1;r3=R40;c1=int:130560;c2=label@720","benchmark_base64_roundtrip_opt",684
192,1,1,1,7,over_3_symbols,"ENDLIFE_REG(r1) | COPY_REG_REG(r2,r3) | LOAD_REG_STRING(r4,c1) | LOAD_REG_INT(r5,c2)","r1=R8;r2=R4;r3=R9;r4=R3;c1=string@288;r5=R14;c2=int:1","benchmark_base64_roundtrip_opt",108
193,1,1,1,6,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | INE_REG_REG_INT(r4,r5,c1)","r1=R37;r2=R36;r3=R35;r4=R39;r5=R33;c1=int:0","benchmark_base64_roundtrip_opt",610
194,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | INE_REG_REG_INT(r1,r3,c1) | BRF_ID_REG(c2,r1)","r1=R39;r2=R38;r3=R37;c1=int:1368;c2=label@470","benchmark_base64_roundtrip_opt",417
195,1,1,1,6,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | INE_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R36;r2=R35;r3=R39;r4=R33;c1=int:0;c2=label@635","benchmark_base64_roundtrip_opt",612
196,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ISUB_REG_REG_INT(r1,r3,c1) | IGT_REG_REG_REG(r2,r4,r1)","r1=R38;r2=R37;r3=R36;c1=int:1;r4=R39","benchmark_base64_roundtrip_opt",658
197,1,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ITOS_REG(r3) | CONCAT_REG_REG_REG(r1,r4,r3)","r1=R39;r2=R38;r3=R37;r4=R42","benchmark_base64_roundtrip_opt",744
198,1,1,1,6,over_3_symbols,"ENDLIFE_REG(r1) | ISUB_REG_REG_INT(r2,r3,c1) | IGT_REG_REG_REG(r1,r4,r2) | BRT_ID_REG(c2,r1)","r1=R37;r2=R38;r3=R36;c1=int:1;r4=R39;c2=label@684","benchmark_base64_roundtrip_opt",660
199,1,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_REG_REG(r3,r4,r2) | SCOPY_REG_REG(r1,r3)","r1=R38;r2=R37;r3=R39;r4=R42","benchmark_base64_roundtrip_opt",746
200,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | SCOPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c1) | STRLEN_REG_REG(r4,r2)","r1=R14;r2=R38;r3=R3;r4=R39;c1=int:0","benchmark_base64_roundtrip_opt",401
201,1,1,1,5,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1) | MINATTRS_REG_INT(r2,c2)","r1=R7;r2=R44;c1=int:0;c2=int:1;c3=label@40","benchmark_base64_roundtrip_opt",15
202,1,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R5;r2=R8;c1=int:1;c2=label@59","benchmark_base64_roundtrip_opt",35
203,1,1,1,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r3,c1) | ICOPY_REG_REG(r2,r3)","r1=R32;r2=R33;c1=int:0;c2=label@517;r3=R31","benchmark_base64_roundtrip_opt",502
204,1,1,1,8,over_3_symbols,"IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | BCMPB_REG_REG_REG(r4,r5,r6)","r1=R34;r2=R38;r3=R36;c1=label@519;r4=R33;c2=int:0;r5=R39;r6=R37","benchmark_base64_roundtrip_opt",488
205,1,1,1,5,over_3_symbols,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINATTRS_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R7;c1=int:1;c2=label@40;r2=R44;r3=R8","benchmark_base64_roundtrip_opt",19
206,1,1,1,7,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c2,r3) | BGETU8_REG_REG_REG(r2,r5,r4)","r1=R38;r2=R36;c1=int:1;r3=R37;r4=R39;c2=label@684;r5=R41","benchmark_base64_roundtrip_opt",662
207,1,1,1,3,candidate,"ITOS_REG(r1) | APPEND_REG_REG(r2,r1) | SAY_REG(r2) | SAY_STRING(c1)","r1=R1;r2=R38;c1=string@44312","benchmark_base64_roundtrip_opt",763
208,1,1,1,5,over_3_symbols,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r3,r1) | SCOPY_REG_REG(r4,r2) | BR_ID(c1)","r1=R37;r2=R39;r3=R42;r4=R38;c1=label@759","benchmark_base64_roundtrip_opt",748
209,1,1,1,7,over_3_symbols,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r3,r2,c2) | SCOPY_REG_REG(r4,r5)","r1=R5;r2=R39;c1=string@42280;r3=R42;c2=string@42440;r4=R38;r5=R3","benchmark_base64_roundtrip_opt",720
210,1,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R8;r2=R44;c1=int:1;r3=R5","benchmark_base64_roundtrip_opt",29
211,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | BCMPB_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRF_ID_REG(c2,r4)","r1=R33;c1=int:0;r2=R39;r3=R37;r4=R32;c2=label@517","benchmark_base64_roundtrip_opt",495
212,1,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | BLEN_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | BR_ID(c2)","r1=R37;c1=int:0;r2=R38;r3=R36;c2=label@658","benchmark_base64_roundtrip_opt",647
213,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | BLEN_REG_REG(r2,r3) | BLEN_REG_REG(r1,r4) | IEQ_REG_REG_REG(r5,r2,r1)","r1=R36;c1=int:0;r2=R38;r3=R39;r4=R37;r5=R34","benchmark_base64_roundtrip_opt",479
214,1,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c1) | BLEN_REG_REG(r4,r2)","r1=R39;c1=int:0;r2=R38;r3=R41;r4=R37","benchmark_base64_roundtrip_opt",641
215,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c3,r2)","r1=R5;c1=int:1;r2=R7;r3=R44;c2=int:0;c3=label@40","benchmark_base64_roundtrip_opt",12
216,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2) | NULL_REG(r4)","r1=R14;c1=int:1;r2=R8;r3=R5;c2=label@401;r4=R21","benchmark_base64_roundtrip_opt",116
217,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2) | IMULT_REG_REG_INT(r4,r3,c3)","r1=R7;c1=int:1023;r2=R6;r3=R8;c2=label@108;r4=R14;c3=int:31","benchmark_base64_roundtrip_opt",79
218,1,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | BLEN_REG_REG(r1,r3) | BLEN_REG_REG(r2,r4)","r1=R38;c1=int:0;r2=R36;r3=R39;r4=R37","benchmark_base64_roundtrip_opt",476
219,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1)","r1=R40;c1=int:0;r2=R39;r3=R38;r4=R41;r5=R37","benchmark_base64_roundtrip_opt",638
220,1,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | BRESIZE_REG_REG(r3,r1) | BLEN_REG_REG(r2,r3)","r1=R12;c1=int:1024;r2=R13;c2=int:0;r3=R9","benchmark_base64_roundtrip_opt",61
221,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r1,r2) | BRT_ID_REG(c3,r3)","r1=R8;c1=int:0;r2=R7;c2=int:1023;r3=R6;c3=label@108","benchmark_base64_roundtrip_opt",76
222,1,1,1,7,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4) | BRT_ID_REG(c3,r3)","r1=R3;c1=string@288;r2=R14;c2=int:1;r3=R8;r4=R5;c3=label@401","benchmark_base64_roundtrip_opt",113
223,1,1,1,4,over_3_symbols,"MINATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | STOI_REG(r2) | ICOPY_REG_REG(r3,r2)","r1=R44;c1=int:1;r2=R8;r3=R5","benchmark_base64_roundtrip_opt",26
224,1,1,1,6,over_3_symbols,"NULL_REG(r1) | LOAD_REG_INT(r2,c1) | GETATTRS_REG_REG_INT(r3,r4,c2) | IGTE_REG_REG_INT(r3,r3,c1)","r1=R2;r2=R5;c1=int:1;r3=R7;r4=R44;c2=int:0","benchmark_base64_roundtrip_opt",10
225,1,1,1,5,over_3_symbols,"NULL_REG(r1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c2) | BRESIZE_REG_REG(r1,r2)","r1=R9;r2=R12;c1=int:1024;r3=R13;c2=int:0","benchmark_base64_roundtrip_opt",59
226,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | APPEND_REG_REG(r1,r2) | SAY_REG(r1)","r1=R38;c1=string@43872;r2=R1","benchmark_base64_roundtrip_opt",759
227,1,1,1,6,over_3_symbols,"SCONCAT_REG_REG_STRING(r1,r2,c1) | SCOPY_REG_REG(r3,r4) | LOAD_REG_INT(r2,c2) | STRLEN_REG_REG(r2,r3)","r1=R42;r2=R39;c1=string@42440;r3=R38;r4=R3;c2=int:0","benchmark_base64_roundtrip_opt",726
228,1,1,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1) | LOAD_REG_INT(r2,c1)","c1=int:1;r1=R2;r2=R5","benchmark_base64_roundtrip_opt",6
229,1,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | NULL_REG(r1) | LOAD_REG_INT(r2,c1) | GETATTRS_REG_REG_INT(r3,r4,c2)","c1=int:1;r1=R2;r2=R5;r3=R7;r4=R44;c2=int:0","benchmark_base64_roundtrip_opt",8
230,1,1,1,3,candidate,"STOI_REG(r1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r1) | ILT_REG_REG_INT(r1,r2,c1)","r1=R8;r2=R5;c1=int:1","benchmark_base64_roundtrip_opt",33
