entry,rank,name,metric,module,kind,count,total_ns,average_ns,completed,unwound,return_type,args,status
richards-noopt,5,awfy_richards.richardsscheduler.runhandler,exit_overhead,benchmark_awfy_richards_noopt,method,23252,1606334,69,23252,0,.int,"identity=.int,work=.int",complete
richards-noopt,6,awfy_richards.richardsscheduler.queuepacket,elapsed,benchmark_awfy_richards_noopt,method,23246,49107033,2112,23246,0,.int,packet=.int,complete
richards-noopt,6,awfy_richards.richardsscheduler.queuepacket,inclusive_body,benchmark_awfy_richards_noopt,method,23246,43959788,1891,23246,0,.int,packet=.int,complete
richards-noopt,6,awfy_richards.richardsscheduler.queuepacket,self,benchmark_awfy_richards_noopt,method,23246,15059423,647,23246,0,.int,packet=.int,complete
richards-noopt,6,awfy_richards.richardsscheduler.queuepacket,native_child,benchmark_awfy_richards_noopt,method,23246,0,0,23246,0,.int,packet=.int,complete
richards-noopt,6,awfy_richards.richardsscheduler.queuepacket,entry_overhead,benchmark_awfy_richards_noopt,method,23246,3701703,159,23246,0,.int,packet=.int,complete
richards-noopt,6,awfy_richards.richardsscheduler.queuepacket,exit_overhead,benchmark_awfy_richards_noopt,method,23246,1445542,62,23246,0,.int,packet=.int,complete
richards-noopt,7,awfy_richards.richardsscheduler.isholdingorwaiting,elapsed,benchmark_awfy_richards_noopt,method,106604,49036711,459,106604,0,.boolean,identity=.int,complete
richards-noopt,7,awfy_richards.richardsscheduler.isholdingorwaiting,inclusive_body,benchmark_awfy_richards_noopt,method,106604,28701773,269,106604,0,.boolean,identity=.int,complete
richards-noopt,7,awfy_richards.richardsscheduler.isholdingorwaiting,self,benchmark_awfy_richards_noopt,method,106604,28701773,269,106604,0,.boolean,identity=.int,complete
richards-noopt,7,awfy_richards.richardsscheduler.isholdingorwaiting,native_child,benchmark_awfy_richards_noopt,method,106604,0,0,106604,0,.boolean,identity=.int,complete
richards-noopt,7,awfy_richards.richardsscheduler.isholdingorwaiting,entry_overhead,benchmark_awfy_richards_noopt,method,106604,14295646,134,106604,0,.boolean,identity=.int,complete
richards-noopt,7,awfy_richards.richardsscheduler.isholdingorwaiting,exit_overhead,benchmark_awfy_richards_noopt,method,106604,6039292,56,106604,0,.boolean,identity=.int,complete
richards-noopt,8,awfy_richards.richardsscheduler.rundevice,elapsed,benchmark_awfy_richards_noopt,method,27884,41995446,1506,27884,0,.int,"identity=.int,work=.int",complete
richards-noopt,8,awfy_richards.richardsscheduler.rundevice,inclusive_body,benchmark_awfy_richards_noopt,method,27884,35909265,1287,27884,0,.int,"identity=.int,work=.int",complete
richards-noopt,8,awfy_richards.richardsscheduler.rundevice,self,benchmark_awfy_richards_noopt,method,27884,7981798,286,27884,0,.int,"identity=.int,work=.int",complete
richards-noopt,8,awfy_richards.richardsscheduler.rundevice,native_child,benchmark_awfy_richards_noopt,method,27884,0,0,27884,0,.int,"identity=.int,work=.int",complete
richards-noopt,8,awfy_richards.richardsscheduler.rundevice,entry_overhead,benchmark_awfy_richards_noopt,method,27884,4195611,150,27884,0,.int,"identity=.int,work=.int",complete
richards-noopt,8,awfy_richards.richardsscheduler.rundevice,exit_overhead,benchmark_awfy_richards_noopt,method,27884,1890570,67,27884,0,.int,"identity=.int,work=.int",complete
richards-noopt,9,awfy_richards.richardsscheduler.iswaitingwithpacket,elapsed,benchmark_awfy_richards_noopt,method,65790,35105635,533,65790,0,.boolean,identity=.int,complete
richards-noopt,9,awfy_richards.richardsscheduler.iswaitingwithpacket,inclusive_body,benchmark_awfy_richards_noopt,method,65790,22400867,340,65790,0,.boolean,identity=.int,complete
