cell,procedure,symbol,type
opaque-noopt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.a2,.string
opaque-noopt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.a3,.string
opaque-noopt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.a4,.string
opaque-noopt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.b1,.string
opaque-noopt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.b2,.string
opaque-noopt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.b3,.string
opaque-noopt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine._parseresult,.string[*]
opaque-noopt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine._source,.string
opaque-noopt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.c1,.string
opaque-noopt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.c2,.string
opaque-noopt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.c3,.string
opaque-noopt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.text,.string
opaque-noopt,fail(),rexxcps_levelb_opaque.fail,.int
opaque-noopt,fail(),rexxcps_levelb_opaque.fail.message,.string
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler,.int
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_raw,.trace_interrupt_raw
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_event,.tracecontext
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_mode,.string
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_format,.string
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_line,.string
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_key,.string
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_emit_source,.int
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_values_mode,.int
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_prefix,.string
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_parent_type,.string
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_parent_value,.string
