rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
54,512000,3,1,4,candidate,"IADD_REG_REG_REG(r1,r1,r2) | BSETU8_REG_REG_REG(r3,r4,r1)","r1=R23;r2=R22;r3=R7;r4=R5","benchmark_base64_roundtrip_noopt",903
55,343000,4,1,5,candidate,"IADD_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2)","r1=R20;r2=R5;c1=int:2;r3=R21;c2=int:61","benchmark_base64_roundtrip_noopt",509
56,342502,5,2,3,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1)","r1=R4;c1=int:0;r2=R5","benchmark_base64_roundtrip_noopt",371
57,342000,2,1,4,candidate,"BRF_ID_REG(c1,r1) | RNE_REG_REG_STRING(r1,r2,c2)","c1=label@930;r1=R23;r2=R13;c2=string@34032","benchmark_base64_roundtrip_noopt",923
58,342000,2,1,3,candidate,"IADD_REG_REG_INT(r1,r1,c1) | BR_ID(c2)","r1=R5;c1=int:4;c2=label@377","benchmark_base64_roundtrip_noopt",556
59,342000,2,1,4,candidate,"IADD_REG_REG_INT(r1,r2,c1) | ILT_REG_REG_REG(r1,r3,r1)","r1=R23;r2=R4;c1=int:1;r3=R5","benchmark_base64_roundtrip_noopt",915
60,342000,2,1,5,candidate,"IDIV_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r3,r4,r1)","r1=R17;r2=R8;c1=int:16;r3=R12;r4=R18","benchmark_base64_roundtrip_noopt",440
61,342000,2,1,3,candidate,"ILT_REG_REG_REG(r1,r2,r1) | BRF_ID_REG(c1,r1)","r1=R23;r2=R5;c1=label@930","benchmark_base64_roundtrip_noopt",919
62,341500,2,1,4,candidate,"IADD_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_INT(r2,r2,c2)","r1=R4;c1=int:3;r2=R5;c2=int:4","benchmark_base64_roundtrip_noopt",552
63,341500,2,1,4,candidate,"IADD_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_INT(r2,r3,c1)","r1=R5;c1=int:1;r2=R23;r3=R4","benchmark_base64_roundtrip_noopt",911
64,341500,2,1,4,candidate,"IDIV_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r3,r3,r1)","r1=R22;r2=R9;c1=int:16;r3=R23","benchmark_base64_roundtrip_noopt",899
65,341500,2,1,5,candidate,"IMULT_REG_REG_INT(r1,r1,c1) | IDIV_REG_REG_INT(r2,r3,c2)","r1=R18;c1=int:4;r2=R17;r3=R7;c2=int:64","benchmark_base64_roundtrip_noopt",452
66,341000,2,1,5,candidate,"BRF_ID_REG(c1,r1) | IMOD_REG_REG_INT(r2,r3,c2)","c1=label@957;r1=R23;r2=R22;r3=R9;c2=int:16","benchmark_base64_roundtrip_noopt",930
67,341000,2,1,4,candidate,"BRF_ID_REG(c1,r1) | SETTP_REG_INT(r2,c2)","c1=label@877;r1=R23;r2=R13;c2=int:256","benchmark_base64_roundtrip_noopt",863
68,341000,2,1,4,candidate,"BSETU8_REG_REG_REG(r1,r2,r3) | BR_ID(c1)","r1=R6;r2=R17;r3=R19;c1=label@520","benchmark_base64_roundtrip_noopt",503
69,341000,2,1,5,candidate,"IADD_REG_REG_INT(r1,r2,c1) | BGETU8_REG_REG_REG(r3,r4,r1)","r1=R18;r2=R4;c1=int:1;r3=R8;r4=R23","benchmark_base64_roundtrip_noopt",405
70,172501,5,1,4,candidate,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1)","r1=R0;r2=R2;r3=R3;c1=int:0","benchmark_base64_roundtrip_noopt",276
71,171500,1,1,4,candidate,"ILTE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R15;r2=R3;r3=R2;c1=label@1001","benchmark_base64_roundtrip_noopt",710
72,171500,1,1,4,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R16;r2=R4;r3=R3;c1=label@562","benchmark_base64_roundtrip_noopt",377
73,171001,2,2,4,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2)","c1=label@1001;r1=R15;r2=R22;c2=int:1","benchmark_base64_roundtrip_noopt",714
74,171000,1,1,5,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1)","r1=R9;r2=R23;r3=R4;r4=R8;c1=int:0","benchmark_base64_roundtrip_noopt",388
75,171000,1,1,5,candidate,"BRF_ID_REG(c1,r1) | ISUB_REG_REG_REG(r2,r3,r4)","c1=label@562;r1=R16;r2=R15;r3=R3;r4=R4","benchmark_base64_roundtrip_noopt",381
76,171000,1,1,4,candidate,"BSETU8_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r3,r2,c1)","r1=R6;r2=R5;r3=R18;c1=int:1","benchmark_base64_roundtrip_noopt",472
77,171000,1,1,5,candidate,"BSETU8_REG_REG_REG(r1,r2,r3) | IGT_REG_REG_INT(r2,r4,c1)","r1=R6;r2=R18;r3=R17;r4=R15;c1=int:1","benchmark_base64_roundtrip_noopt",484
78,171000,1,1,4,candidate,"IADD_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c1)","r1=R18;r2=R3;c1=int:1;r3=R19","benchmark_base64_roundtrip_noopt",758
79,171000,1,1,5,candidate,"IADD_REG_REG_REG(r1,r2,r3) | IMOD_REG_REG_INT(r2,r4,c1)","r1=R12;r2=R18;r3=R17;r4=R8;c1=int:16","benchmark_base64_roundtrip_noopt",444
80,171000,1,1,6,candidate,"IADD_REG_REG_REG(r1,r2,r3) | IMOD_REG_REG_INT(r4,r5,c1)","r1=R13;r2=R18;r3=R17;r4=R14;r5=R7;c1=int:64","benchmark_base64_roundtrip_noopt",460
81,171000,1,1,4,candidate,"IDIV_REG_REG_INT(r1,r2,c1) | IMOD_REG_REG_INT(r3,r2,c1)","r1=R11;r2=R9;c1=int:4;r3=R18","benchmark_base64_roundtrip_noopt",428
82,171000,1,1,6,candidate,"IMOD_REG_REG_INT(r1,r2,c1) | BGETU8_REG_REG_REG(r3,r4,r5)","r1=R14;r2=R7;c1=int:64;r3=R18;r4=R0;r5=R11","benchmark_base64_roundtrip_noopt",464
83,171000,1,1,4,candidate,"IMULT_REG_REG_INT(r1,r1,c1) | IDIV_REG_REG_INT(r2,r3,c1)","r1=R18;c1=int:16;r2=R17;r3=R8","benchmark_base64_roundtrip_noopt",436
84,171000,1,1,6,candidate,"IMULT_REG_REG_INT(r1,r2,c1) | IDIV_REG_REG_INT(r3,r4,c2)","r1=R23;r2=R11;c1=int:4;r3=R22;r4=R9;c2=int:16","benchmark_base64_roundtrip_noopt",895
85,171000,1,1,5,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | BGETU8_REG_REG_REG(r4,r5,r3)","r1=R15;r2=R3;r3=R4;r4=R9;r5=R23","benchmark_base64_roundtrip_noopt",384
86,171000,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_INT(r2,r3,c2)","r1=R7;c1=int:0;r2=R17;r3=R15;c2=int:1","benchmark_base64_roundtrip_noopt",395
87,171000,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | RNE_REG_REG_STRING(r2,r3,c2)","r1=R14;c1=int:0;r2=R23;r3=R13;c2=string@34032","benchmark_base64_roundtrip_noopt",856
88,171000,1,1,5,candidate,"SWAP_REG_REG(r1,r2) | IADD_REG_REG_INT(r3,r4,c1)","r1=R25;r2=R20;r3=R21;r4=R3;c1=int:3","benchmark_base64_roundtrip_noopt",822
89,170500,1,1,6,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | IDIV_REG_REG_INT(r4,r5,c1)","r1=R7;r2=R23;r3=R17;r4=R11;r5=R9;c1=int:4","benchmark_base64_roundtrip_noopt",424
90,170500,1,1,5,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | IGT_REG_REG_INT(r3,r4,c1)","r1=R8;r2=R23;r3=R18;r4=R15;c1=int:2","benchmark_base64_roundtrip_noopt",409
