handler,file,line,callee,decision,all_inline_count,profile30_count,delta
PARSEPOS2_REG_REG_REG_INT,rxvmhandlers_system.inc,1524,rxvm_parse_position2_spans,inlined,1,1,0
PARSEPOS2_REG_REG_REG_INT,rxvmhandlers_system.inc,1524,rxvm_parse_set_span_bytes,inlined,2,2,0
PARSEPOS2_REG_REG_REG_INT,rxvmhandlers_system.inc,1524,set_null_string,inlined,1,1,0
PARSEPOS2_REG_REG_REG_INT,rxvmhandlers_system.inc,1524,value_zero,inlined,1,1,0
PARSEWORDS3D_REG_REG_REG_REG,rxvmhandlers_system.inc,1554,rxsignal_mask,inlined,1,1,0
PARSEWORDS3D_REG_REG_REG_REG,rxvmhandlers_system.inc,1554,rxvm_internal_alloc,inlined,1,1,0
PARSEWORDS3D_REG_REG_REG_REG,rxvmhandlers_system.inc,1554,rxvm_internal_free,inlined,1,1,0
PARSEWORDS3D_REG_REG_REG_REG,rxvmhandlers_system.inc,1554,rxvm_parse_set_span_bytes,inlined,3,3,0
PARSEWORDS3D_REG_REG_REG_REG,rxvmhandlers_system.inc,1554,rxvm_parse_words3_drop_spans,inlined,1,1,0
PARSEWORDS3D_REG_REG_REG_REG,rxvmhandlers_system.inc,1554,set_null_string,inlined,1,1,0
PARSEWORDS3D_REG_REG_REG_REG,rxvmhandlers_system.inc,1554,value_zero,inlined,1,1,0
PARSEWORDS3_REG_REG_REG_REG,rxvmhandlers_system.inc,1474,rxsignal_mask,inlined,1,1,0
PARSEWORDS3_REG_REG_REG_REG,rxvmhandlers_system.inc,1474,rxvm_internal_alloc,inlined,1,1,0
PARSEWORDS3_REG_REG_REG_REG,rxvmhandlers_system.inc,1474,rxvm_internal_free,inlined,1,1,0
PARSEWORDS3_REG_REG_REG_REG,rxvmhandlers_system.inc,1474,rxvm_parse_set_span_bytes,inlined,3,3,0
PARSEWORDS3_REG_REG_REG_REG,rxvmhandlers_system.inc,1474,rxvm_parse_words3_spans,inlined,1,1,0
PARSEWORDS3_REG_REG_REG_REG,rxvmhandlers_system.inc,1474,set_null_string,inlined,1,1,0
PARSEWORDS3_REG_REG_REG_REG,rxvmhandlers_system.inc,1474,value_zero,inlined,1,1,0
POSCHAR_REG_REG_REG,rxvmhandlers_string.inc,725,has_utf8_valid_count_or_empty,inlined,2,2,0
POSCHAR_REG_REG_REG,rxvmhandlers_string.inc,725,refresh_utf8_flags,inlined,1,1,0
POSCHAR_REG_REG_REG,rxvmhandlers_string.inc,725,rxsignal_mask,inlined,1,1,0
POSCHAR_REG_REG_REG,rxvmhandlers_string.inc,725,set_int,inlined,1,1,0
POSCHAR_REG_REG_REG,rxvmhandlers_string.inc,725,set_null_string,inlined,1,1,0
POSCHAR_REG_REG_REG,rxvmhandlers_string.inc,725,string_cache_seek_char,inlined,1,1,0
POSCHAR_REG_REG_REG,rxvmhandlers_string.inc,725,utf8codepoint,inlined,1,1,0
POSCHAR_REG_REG_REG,rxvmhandlers_string.inc,725,value_zero,inlined,1,1,0
REFVALID_REG_REG,rxvmhandlers_control.inc,2905,rxvm_reference_cell_is_valid,inlined,1,1,0
REFVALID_REG_REG,rxvmhandlers_control.inc,2905,rxvm_reference_payload_cell,inlined,1,1,0
REFVALID_REG_REG,rxvmhandlers_control.inc,2905,value_zero,inlined,1,1,0
REQ_REG_REG_REG,rxvmhandlers_numeric.inc,1655,rxvm_loose_compare_values,inlined,1,1,0
REQ_REG_REG_REG,rxvmhandlers_numeric.inc,1655,set_int,inlined,1,1,0
REQ_REG_REG_STRING,rxvmhandlers_numeric.inc,1662,rxvm_loose_compare_value_const,inlined,1,1,0
REQ_REG_REG_STRING,rxvmhandlers_numeric.inc,1662,set_int,inlined,1,1,0
RET,rxvmhandlers_control.inc,2486,copy_value,not inlined,1,1,0
RET,rxvmhandlers_control.inc,2486,free_frame,inlined,3,3,0
