rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,6110000,14,1,8,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r4,r5,r2) | IEQ_REG_REG_INT(r6,r4,c2)","r1=R7;r2=R27;r3=R43;c1=label@1289;r4=R8;r5=R42;r6=R6;c2=int:32","rxjson",1226
160,10000,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IEQ_REG_REG_INT(r4,r1,c1) | UNLINK_REG(r1) | BRF_ID_REG(c2,r4)","r1=R42;r2=R86;r3=R45;c1=int:0;r4=R41;c2=label@12820","rxjson",12598
161,10000,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | SCOPY_REG_REG(r4,r1) | UNLINK_REG(r1) | MINLINKATTR1_REG_REG_REG_INT(r1,r5,r3,c1)","r1=R42;r2=R87;r3=R45;c1=int:0;r4=R29;r5=R89","rxjson",12624
162,10000,2,1,5,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | STRLEN_REG_REG(r4,r3)","r1=R1;r2=R22;r3=R36;r4=R38;c1=int:0","rxjson",9012
163,10000,1,1,6,candidate,"SCOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r4,c1) | BCOPY_REG_REG(r5,r2)","r1=R29;r2=R42;r3=R89;r4=R45;c1=int:0;r5=R52","rxjson",12629
164,10000,1,1,7,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R42;c1=label@12820;r2=R41;r3=R38;r4=R80;r5=R30;r6=R3","rxjson",12607
165,10000,1,1,6,candidate,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | IEQ_REG_REG_INT(r1,r4,c1) | BRF_ID_REG(c2,r1)","r1=R42;r2=R28;r3=R52;r4=R31;c1=int:0;c2=label@12731","rxjson",12642
166,10000,1,1,5,candidate,"UNLINK_REG(r1) | MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | BCOPY_REG_REG(r4,r1) | UNLINK_REG(r1)","r1=R42;r2=R89;r3=R45;c1=int:0;r4=R52","rxjson",12632
167,5000,1,1,14,candidate,"BLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r4,c1,r5,c2,r6) | SWAPN_REG_REG_REG_REG_REG_REG(r7,r8,r9,r10,r11,r12)","r1=R23;r2=R22;r3=R2;r4=R24;c1=int:5;r5=R7;c2=int:256;r6=R25;r7=R26;r8=R3;r9=R27;r10=R0;r11=R28;r12=R4","rxjson",927
168,5000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r2,r3) | IEQ_REG_REG_REG(r4,r5,r6) | BRF_ID_REG(c2,r4)","c1=label@12820;r1=R55;r2=R13;r3=R45;r4=R57;r5=R84;r6=R85;c2=label@12830","rxjson",12814
169,5000,1,1,6,candidate,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1) | LOAD_REG_INT(r2,c4)","c1=label@10823;r1=R82;r2=R110;c2=int:0;c3=label@10838;c4=int:1","rxjson",10816
170,5000,1,1,7,candidate,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_REG(r4,r5,r3)","c1=label@8962;r1=R21;r2=R36;r3=R23;c2=label@8973;r4=R19;r5=R35","rxjson",8955
171,5000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | ICOPY_REG_REG(r4,r5)","c1=label@10838;r1=R82;r2=R110;c2=int:1;r3=R111;c3=int:5;r4=R112;r5=R51","rxjson",10823
172,5000,1,1,10,candidate,"BRF_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5) | COPY_REG_REG(r6,r7) | ICOPY_REG_REG(r8,r9)","c1=label@1606;r1=R38;r2=R26;r3=R25;r4=R24;r5=R10;r6=R33;r7=R1;r8=R28;r9=R2","rxjson",1196
173,5000,1,1,9,candidate,"BRT_ID_REG(c1,r1) | LOAD_REG_STRING(r2,c2) | LOAD_REG_STRING(r3,c3) | LOADSETTP2_REG_INT_REG_INT(r4,c4,r2,c5)","c1=label@120;r1=R4;r2=R7;c2=string@3080;r3=R8;c3=string@5040;r4=R6;c4=int:2;c5=int:256","benchmark_json_parser_opt",68
174,5000,1,1,11,candidate,"BRT_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5) | NULLN_REG_REG_REG(r6,r7,r8) | SCOPY_REG_REG(r9,r10)","c1=label@9307;r1=R35;r2=R31;r3=R30;r4=R28;r5=R25;r6=R24;r7=R19;r8=R17;r9=R18;r10=R38","rxjson",9113
175,5000,1,1,17,candidate,"COPY_REG_REG(r1,r2) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r3,c1,r4,c2,r5) | SWAPN_REG_REG_REG_REG_REG_REG(r6,r7,r8,r9,r10,r11) | SWAPCALL_REG_FUNC_REG_REG_REG(r12,c3,r3,r13,r14)","r1=R2;r2=R23;r3=R24;c1=int:5;r4=R7;c2=int:256;r5=R25;r6=R26;r7=R3;r8=R27;r9=R0;r10=R28;r11=R4;r12=R5;c3=func@2271232;r13=R6;r14=R29","rxjson",930
176,5000,1,1,5,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | ICOPY_REG_REG(r4,r5)","r1=R4;r2=R3;r3=R0;r4=R16;r5=R37","rxjson",1177
177,5000,1,1,6,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ICOPY_REG_REG(r3,r4) | BGT_ID_REG_INT(c1,r3,c2)","r1=R3;r2=R0;r3=R16;r4=R37;c1=label@1192;c2=int:0","rxjson",1179
178,5000,1,1,6,candidate,"ENDLIFE_REG(r1) | IEQ_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c2,r2) | ICOPY_REG_REG(r3,r4)","r1=R28;r2=R55;c1=int:1;c2=label@12820;r3=R13;r4=R45","rxjson",12808
179,5000,1,1,8,candidate,"IADD_REG_REG_INT(r1,r1,c1) | IEQ_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2) | IEQ_REG_REG_INT(r2,r5,c3)","r1=R103;c1=int:1;r2=R82;r3=R60;r4=R55;c2=label@10823;r5=R110;c3=int:0","rxjson",10808
180,5000,1,1,6,candidate,"IADD_REG_REG_INT(r1,r1,c1) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r1,c2) | LOAD_REG_INT(r4,c2) | ISETUNLINK_REG_REG(r2,r4)","r1=R4;c1=int:1;r2=R38;r3=R41;c2=int:0;r4=R36","rxjson",9038
181,5000,1,1,8,candidate,"IADD_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | ILT_REG_REG_REG(r7,r1,r5)","r1=R27;r2=R9;c1=int:1;r3=R42;r4=R33;r5=R43;r6=R28;r7=R7","rxjson",1216
182,5000,1,1,7,candidate,"IADD_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | BCMPB_REG_REG_REG(r3,r4,r5) | IEQ_REG_REG_INT(r3,r3,c2)","r1=R54;r2=R30;c1=int:1;r3=R26;r4=R38;r5=R28;c2=int:0","rxjson",12697
183,5000,1,1,9,candidate,"ICOPY_REG_REG(r1,r2) | IADD_REG_REG_INT(r3,r4,c1) | COPY_REG_REG(r5,r6) | ICOPY_REG_REG(r7,r8)","r1=R37;r2=R13;r3=R27;r4=R9;c1=int:1;r5=R42;r6=R33;r7=R43;r8=R28","rxjson",1213
184,5000,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | IADD_REG_REG_INT(r5,r1,c1) | COPY_REG_REG(r6,r7)","r1=R9;r2=R12;r3=R37;r4=R13;r5=R27;c1=int:1;r6=R42;r7=R33","rxjson",1210
185,5000,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | IADD_REG_REG_INT(r7,r3,c1)","r1=R28;r2=R2;r3=R9;r4=R12;r5=R37;r6=R13;r7=R27;c1=int:1","rxjson",1207
186,5000,1,1,7,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1) | BR_ID(c2)","r1=R112;r2=R51;r3=R113;r4=R103;r5=R82;c1=int:1;c2=label@10861","rxjson",10832
187,5000,1,1,9,candidate,"ICOPY_REG_REG(r1,r2) | ILTE_REG_REG_REG(r3,r2,r4) | BRF_ID_REG(c1,r3) | NULLN_REG_REG_REG_REG(r5,r6,r7,r8)","r1=R3;r2=R5;r3=R36;r4=R11;c1=label@8846;r5=R35;r6=R34;r7=R31;r8=R29","rxjson",8668
188,5000,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | ISUB_REG_REG_REG(r3,r4,r2) | LOAD_REG_STRING(r5,c1) | LOAD_REG_INT(r6,c2)","r1=R27;r2=R3;r3=R35;r4=R5;r5=R34;c1=string@312872;r6=R31;c2=int:0","rxjson",8858
189,5000,1,1,8,candidate,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | ICOPY_REG_REG(r2,r3) | IEQ_REG_REG_REG(r4,r5,r6)","r1=R55;c1=int:1;c2=label@12820;r2=R13;r3=R45;r4=R57;r5=R84;r6=R85","rxjson",12810
190,5000,1,1,6,candidate,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r2,c3) | ICOPY_REG_REG(r3,r2)","r1=R26;c1=int:0;c2=label@12723;r2=R24;c3=int:1;r3=R55","rxjson",12708
191,5000,1,1,5,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r2,c1) | ICOPY_REG_REG(r3,r2)","r1=R34;r2=R30;c1=int:0;c2=label@9304;r3=R35","rxjson",9289
192,5000,1,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r2,c3) | LOAD_REG_INT(r3,c4)","r1=R82;r2=R110;c1=int:0;c2=label@10838;c3=int:1;r3=R111;c4=int:5","rxjson",10819
193,5000,1,1,10,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | NULLN_REG_REG_REG_REG(r3,r4,r5,r6) | COPY_REG_REG(r7,r8)","r1=R38;r2=R11;c1=int:5;c2=label@1606;r3=R26;r4=R25;r5=R24;r6=R10;r7=R33;r8=R1","rxjson",1192
194,5000,1,1,7,candidate,"IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r4,c2) | BRF_ID_REG(c3,r1)","r1=R82;r2=R60;r3=R55;c1=label@10823;r4=R110;c2=int:0;c3=label@10838","rxjson",10812
195,5000,1,1,8,candidate,"IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | IEQ_REG_REG_REG(r4,r5,r3) | BRTF_ID_ID_REG(c2,c3,r4)","r1=R21;r2=R36;r3=R23;c1=label@8973;r4=R19;r5=R35;c2=label@8979;c3=label@8984","rxjson",8958
196,5000,1,1,8,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LOAD_REG_STRING(r4,c2) | LOAD_REG_STRING(r5,c3)","r1=R4;r2=R5;r3=R1;c1=label@120;r4=R7;c2=string@3080;r5=R8;c3=string@5040","benchmark_json_parser_opt",64
197,5000,1,1,11,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r4,r5,r6,r7) | NULLN_REG_REG_REG(r8,r9,r10)","r1=R35;r2=R36;r3=R33;c1=label@9307;r4=R31;r5=R30;r6=R28;r7=R25;r8=R24;r9=R19;r10=R17","rxjson",9109
198,5000,1,1,6,candidate,"ISETUNLINK_REG_REG(r1,r2) | MINLINKATTR1_REG_REG_REG_INT(r1,r3,r4,c1) | SCOPY_REG_REG(r1,r5) | UNLINK_REG(r1)","r1=R38;r2=R36;r3=R42;r4=R4;c1=int:0;r5=R1","rxjson",9050
199,5000,1,1,8,candidate,"ISETUNLINK_REG_REG(r1,r2) | MINLINKATTR1_REG_REG_REG_INT(r3,r4,r5,c1) | SCOPY_REG_REG(r6,r7) | STOBIN_REG(r6)","r1=R33;r2=R31;r3=R38;r4=R44;r5=R4;c1=int:0;r6=R36;r7=R1","rxjson",9348
200,5000,1,1,9,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | LOAD_REG_STRING(r4,c1) | LOAD_REG_INT(r5,c2) | LOAD_REG_STRING(r6,c3)","r1=R35;r2=R5;r3=R3;r4=R34;c1=string@312872;r5=R31;c2=int:0;r6=R28;c3=string@28856","rxjson",8861
201,5000,1,1,19,candidate,"LOADSETTPSWAP_REG_INT_REG_INT_REG(r1,c1,r2,c2,r3) | SWAPN_REG_REG_REG_REG_REG_REG(r4,r5,r6,r7,r8,r9) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r10,c2,r11,r12,r13) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r14,c2,r15,r16,r17)","r1=R24;c1=int:13;r2=R1;c2=int:256;r3=R25;r4=R26;r5=R2;r6=R27;r7=R8;r8=R29;r9=R5;r10=R3;r11=R30;r12=R0;r13=R31;r14=R4;r15=R32;r16=R6;r17=R33","rxjson",997
202,5000,1,1,9,candidate,"LOAD_REG_INT(r1,c1) | BLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r4,c2,r5,c3,r6)","r1=R23;c1=int:0;r2=R22;r3=R2;r4=R24;c2=int:5;r5=R7;c3=int:256;r6=R25","rxjson",924
203,5000,1,1,8,candidate,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | LOAD_REG_INT(r6,c2)","r1=R111;c1=int:5;r2=R112;r3=R51;r4=R113;r5=R103;r6=R82;c2=int:1","rxjson",10829
204,5000,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2) | BGETU8_REG_REG_REG(r2,r5,r3)","r1=R34;c1=int:0;r2=R8;r3=R27;r4=R37;c2=label@1307;r5=R33","rxjson",1289
205,5000,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | ISETUNLINK_REG_REG(r2,r1) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r4,c1) | SCOPY_REG_REG(r2,r5)","r1=R36;c1=int:0;r2=R38;r3=R42;r4=R4;r5=R1","rxjson",9047
206,5000,1,1,9,candidate,"LOAD_REG_INT(r1,c1) | ISETUNLINK_REG_REG(r2,r1) | MINLINKATTR1_REG_REG_REG_INT(r3,r4,r5,c2) | SCOPY_REG_REG(r6,r7)","r1=R31;c1=int:-1;r2=R33;r3=R38;r4=R44;r5=R4;c2=int:0;r6=R36;r7=R1","rxjson",9345
207,5000,1,1,17,candidate,"LOAD_REG_INT(r1,c1) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r2,c2,r3,c3,r4) | SWAPN_REG_REG_REG_REG_REG_REG(r5,r6,r7,r8,r9,r10) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r11,c3,r12,r13,r14)","r1=R28;c1=int:0;r2=R24;c2=int:13;r3=R1;c3=int:256;r4=R25;r5=R26;r6=R2;r7=R27;r8=R8;r9=R29;r10=R5;r11=R3;r12=R30;r13=R0;r14=R31","rxjson",994
208,5000,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | ILT_REG_REG_REG(r3,r4,r5) | BRF_ID_REG(c2,r3)","r1=R29;c1=int:0;r2=R31;r3=R8;r4=R27;r5=R37;c2=label@1589","rxjson",1324
209,5000,1,1,14,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r3,c2,r4,c3,r5) | SWAPN_REG_REG_REG_REG_REG_REG(r6,r7,r8,r9,r10,r11)","r1=R13;c1=int:0;r2=R28;r3=R24;c2=int:13;r4=R1;c3=int:256;r5=R25;r6=R26;r7=R2;r8=R27;r9=R8;r10=R29;r11=R5","rxjson",991
210,5000,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1) | ILT_REG_REG_REG(r4,r5,r6)","r1=R30;c1=int:0;r2=R29;r3=R31;r4=R8;r5=R27;r6=R37","rxjson",1321
211,5000,1,1,9,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r4,c2,r5,c3,r6)","r1=R12;c1=int:0;r2=R13;r3=R28;r4=R24;c2=int:13;r5=R1;c3=int:256;r6=R25","rxjson",988
212,5000,1,1,8,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1) | NULLN_REG_REG_REG_REG(r4,r5,r6,r7)","r1=R11;c1=int:0;r2=R12;r3=R13;r4=R6;r5=R4;r6=R3;r7=R0","rxjson",896
213,5000,1,1,9,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | NULLN_REG_REG_REG_REG(r3,r4,r5,r6) | SCOPY_REG_REG(r7,r8)","r1=R12;c1=int:0;r2=R13;r3=R6;r4=R4;r5=R3;r6=R0;r7=R9;r8=R97","rxjson",899
214,5000,1,1,8,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R110;c1=int:1;r2=R111;c2=int:5;r3=R112;r4=R51;r5=R113;r6=R103","rxjson",10826
215,5000,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c2) | LOAD_REG_INT(r4,c2)","r1=R32;c1=int:1;r2=R30;c2=int:0;r3=R29;r4=R31","rxjson",1318
216,5000,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SCOPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1)","r1=R4;c1=int:0;r2=R5;c2=int:1;r3=R12;r4=R40;r5=R11","rxjson",7809
217,5000,1,1,10,candidate,"LOAD_REG_INT(r1,c1) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5) | SCOPY_REG_REG(r6,r7) | SCOPY_REG_REG(r8,r9)","r1=R13;c1=int:0;r2=R6;r3=R4;r4=R3;r5=R0;r6=R9;r7=R97;r8=R7;r9=R98","rxjson",902
218,5000,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | STRLEN_REG_REG(r1,r2) | ILTE_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c2,r3)","r1=R11;c1=int:0;r2=R12;r3=R0;r4=R5;c2=label@9368","rxjson",7818
219,5000,1,1,10,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_STRING(r2,c2) | LOADSETTP2_REG_INT_REG_INT(r3,c3,r1,c4) | SETTPCALL_REG_FUNC_REG_REG_INT(r4,c5,r3,r2,c6)","r1=R7;c1=string@3080;r2=R8;c2=string@5040;r3=R6;c3=int:2;c4=int:256;r4=R2;c5=func@5168;c6=int:768","benchmark_json_parser_opt",71
220,5000,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | LOAD_REG_INT(r4,c1) | ISETUNLINK_REG_REG(r1,r4) | MINLINKATTR1_REG_REG_REG_INT(r1,r5,r3,c1)","r1=R38;r2=R41;r3=R4;c1=int:0;r4=R36;r5=R42","rxjson",9042
221,5000,1,1,8,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | LOAD_REG_INT(r4,c2) | ISETUNLINK_REG_REG(r1,r4) | MINLINKATTR1_REG_REG_REG_INT(r5,r6,r3,c1)","r1=R33;r2=R43;r3=R4;c1=int:0;r4=R31;c2=int:-1;r5=R38;r6=R44","rxjson",9340
222,5000,1,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | SCOPY_REG_REG(r1,r4) | UNLINK_REG(r1) | SCOPY_REG_REG(r1,r4)","r1=R38;r2=R42;r3=R4;c1=int:0;r4=R1","rxjson",9053
223,5000,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | SCOPY_REG_REG(r4,r5) | STOBIN_REG(r4) | BCOPY_REG_REG(r1,r4)","r1=R38;r2=R44;r3=R4;c1=int:0;r4=R36;r5=R1","rxjson",9351
224,5000,1,1,9,candidate,"NULLN_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7) | ISUB_REG_REG_REG(r8,r9,r7)","r1=R29;r2=R25;r3=R23;r4=R24;r5=R40;r6=R27;r7=R3;r8=R35;r9=R5","rxjson",8851
225,5000,1,1,10,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | COPY_REG_REG(r5,r6) | ICOPY_REG_REG(r7,r8) | ICOPY_REG_REG(r9,r10)","r1=R26;r2=R25;r3=R24;r4=R10;r5=R33;r6=R1;r7=R28;r8=R2;r9=R9;r10=R12","rxjson",1199
226,5000,1,1,9,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r6) | SCOPY_REG_REG(r7,r8) | SCOPY_REG_REG(r9,r5)","r1=R6;r2=R4;r3=R3;r4=R0;r5=R9;r6=R97;r7=R7;r8=R98;r9=R1","rxjson",905
227,5000,1,1,5,candidate,"NULL_REG(r1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c1)","r1=R1;r2=R2;c1=int:0;r3=R11;r4=R12","rxjson",891
228,5000,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r1) | LOAD_REG_INT(r2,c3) | LOAD_REG_INT(r3,c3)","c1=int:18;c2=int:1;r1=R1;r2=R2;c3=int:0;r3=R11","rxjson",887
229,5000,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | SCOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c3) | STRLEN_REG_REG(r3,r1)","c1=int:18;c2=int:1;r1=R1;r2=R40;r3=R3;c3=int:0","rxjson",7785
230,5000,1,1,6,candidate,"RGTE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | RLTE_REG_REG_STRING(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R31;r2=R34;c1=string@314864;c2=label@9273;c3=string@2193304;c4=label@9281","rxjson",9262
231,5000,1,1,8,candidate,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ISUB_REG_REG_REG(r5,r6,r4) | LOAD_REG_STRING(r7,c1)","r1=R24;r2=R40;r3=R27;r4=R3;r5=R35;r6=R5;r7=R34;c1=string@312872","rxjson",8855
232,5000,1,1,5,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | STRLEN_REG_REG(r3,r1) | BR_ID(c2)","r1=R1;r2=R40;r3=R3;c1=int:0;c2=label@7800","rxjson",7789
233,5000,1,1,6,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | STRLEN_REG_REG(r3,r1) | ILTE_REG_REG_REG(r4,r5,r3)","r1=R12;r2=R40;r3=R11;c1=int:0;r4=R0;r5=R5","rxjson",7815
234,5000,1,1,6,candidate,"SCOPY_REG_REG(r1,r2) | RGTE_REG_REG_STRING(r3,r1,c1) | BRF_ID_REG(c2,r3) | RLTE_REG_REG_STRING(r3,r1,c3)","r1=R34;r2=R16;r3=R31;c1=string@314864;c2=label@9273;c3=string@2193304","rxjson",9259
235,5000,1,1,5,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r1) | STOBIN_REG(r5)","r1=R9;r2=R97;r3=R7;r4=R98;r5=R1","rxjson",910
236,5000,1,1,5,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | STOBIN_REG(r3) | COPY_REG_REG(r5,r3)","r1=R7;r2=R98;r3=R1;r4=R9;r5=R22","rxjson",913
237,5000,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | STOBIN_REG(r1) | BCOPY_REG_REG(r3,r1) | UNLINK_REG(r3)","r1=R36;r2=R1;r3=R38","rxjson",9356
238,5000,1,1,5,candidate,"SCOPY_REG_REG(r1,r2) | STOBIN_REG(r1) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1)","r1=R1;r2=R9;r3=R22;r4=R23;c1=int:0","rxjson",916
239,5000,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r1)","r1=R38;r2=R1;r3=R35","rxjson",9058
240,5000,1,1,3,candidate,"STOBIN_REG(r1) | BCOPY_REG_REG(r2,r1) | UNLINK_REG(r2) | BR_ID(c1)","r1=R36;r2=R38;c1=label@7824","rxjson",9359
241,5000,1,1,4,candidate,"STOBIN_REG(r1) | COPY_REG_REG(r2,r1) | LOAD_REG_INT(r3,c1) | BLEN_REG_REG(r3,r2)","r1=R1;r2=R22;r3=R23;c1=int:0","rxjson",919
242,5000,1,1,9,candidate,"STRLEN_REG_REG(r1,r2) | ILTE_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c1,r3) | NULLN_REG_REG_REG_REG(r5,r6,r7,r8)","r1=R11;r2=R12;r3=R0;r4=R5;c1=label@9368;r5=R13;r6=R14;r7=R16;r8=R18","rxjson",7821
243,5000,1,1,21,candidate,"SWAPN_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r7,c1,r8,r9,r10) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r11,c1,r12,r13,r14) | SWAPN_REG_REG_REG_REG_REG_REG(r15,r16,r17,r18,r19,r20)","r1=R26;r2=R2;r3=R27;r4=R8;r5=R29;r6=R5;r7=R3;c1=int:256;r8=R30;r9=R0;r10=R31;r11=R4;r12=R32;r13=R6;r14=R33;r15=R34;r16=R10;r17=R35;r18=R11;r19=R36;r20=R12","rxjson",1003
244,5000,1,1,19,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14,r15,r16) | IEQ_REG_REG_INT(r17,r17,c1) | BRF_ID_REG(c2,r17)","r1=R3;r2=R30;r3=R0;r4=R31;r5=R4;r6=R32;r7=R6;r8=R33;r9=R10;r10=R34;r11=R11;r12=R35;r13=R12;r14=R36;r15=R13;r16=R37;r17=R38;c1=int:0;c2=label@1074","rxjson",1044
