rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
101,20114,3,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r4,c3) | SETTP_REG_INT(r2,c4)","r1=R16;r2=R11;c1=int:20;c2=int:6;r3=R18;r4=R3;c3=int:1;r5=R19;r6=R7;c4=int:256","benchmark_awfy_richards_opt",2891
102,20114,3,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | SETTP_REG_INT(r2,c4) | CALL3_REG_FUNC_REG_REG_REG(r5,c5,r2,r6,r3)","r1=R19;r2=R11;c1=int:20;c2=int:6;r3=R7;r4=R3;c3=int:1;c4=int:256;r5=R21;c5=func@69176;r6=R24","benchmark_awfy_richards_opt",2899
103,20114,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2) | IEQ_REG_REG_INT(r4,r5,c1)","r1=R5;r2=R6;r3=R10;c1=int:0;r4=R7;r5=R11","benchmark_awfy_richards_opt",2053
104,20114,1,1,8,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c4)","c1=int:18;c2=int:1;r1=R6;r2=R9;c3=int:17;r3=R5;r4=R10;c4=int:0","benchmark_awfy_richards_opt",2045
105,19435,5,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | ISETUNLINKN_REG_REG_REG(r3,r5,r1)","r1=R6;r2=R9;c1=int:17;r3=R7;r4=R1;c2=int:0;r5=R10","benchmark_awfy_richards_opt",2115
106,19308,2,1,5,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r4,r2,c1)","r1=R9;r2=R15;c1=int:8;r3=R8;r4=R10","benchmark_awfy_richards_opt",3195
107,18588,1,1,10,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | IGETUNLINK_REG_REG(r6,r4)","c1=label@4238;r1=R45;r2=R40;r3=R51;c2=int:3;c3=int:6;r4=R42;r5=R56;c4=int:1;r6=R43","benchmark_awfy_richards_opt",4147
108,18588,1,1,11,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c3,c4,r5,r6,c5)","r1=R45;r2=R1;c1=int:0;c2=label@4238;r3=R40;r4=R51;c3=int:3;c4=int:6;r5=R42;r6=R56;c5=int:1","benchmark_awfy_richards_opt",4143
109,17086,2,1,11,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c2,c3,r6,r7,c4)","r1=R7;r2=R12;c1=label@2891;r3=R5;r4=R15;r5=R11;c2=int:20;c3=int:6;r6=R14;r7=R3;c4=int:1","benchmark_awfy_richards_opt",2818
110,14760,1,1,11,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r6,r4,c5,r2)","c1=label@3138;r1=R8;r2=R9;r3=R55;c2=int:23;c3=int:6;r4=R11;r5=R56;c4=int:1;r6=R6;c5=int:0","benchmark_awfy_richards_opt",3094
