vm	comparison	loop_count	padding_cells	process_run	pair	order	current_us	alternative_us	delta_us	delta_per_call_ns	alternative_delta_percent
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	2	1	alternative-first	3962	3727	-235	-0.235000	-5.931348
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	2	2	current-first	3967	3818	-149	-0.149000	-3.755987
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	2	3	alternative-first	4031	3580	-451	-0.451000	-11.188291
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	2	4	current-first	3970	3516	-454	-0.454000	-11.435768
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	3	1	alternative-first	3965	3543	-422	-0.422000	-10.643127
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	3	2	current-first	4040	3517	-523	-0.523000	-12.945545
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	3	3	alternative-first	3995	3627	-368	-0.368000	-9.211514
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	3	4	current-first	4055	3505	-550	-0.550000	-13.563502
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	3	1	alternative-first	4281	3823	-458	-0.458000	-10.698435
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	3	2	current-first	4302	3964	-338	-0.338000	-7.856811
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	3	3	alternative-first	4294	3858	-436	-0.436000	-10.153703
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	3	4	current-first	4350	3942	-408	-0.408000	-9.379310
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	1	1	alternative-first	3908	3512	-396	-0.396000	-10.133060
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	1	2	current-first	3902	3519	-383	-0.383000	-9.815479
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	1	3	alternative-first	3935	3549	-386	-0.386000	-9.809403
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	1	4	current-first	3915	3504	-411	-0.411000	-10.498084
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	1	1	alternative-first	4395	3836	-559	-0.559000	-12.718999
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	1	2	current-first	4337	3815	-522	-0.522000	-12.035970
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	1	3	alternative-first	4341	3827	-514	-0.514000	-11.840590
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	1	4	current-first	4291	3827	-464	-0.464000	-10.813330
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	2	1	alternative-first	4262	3795	-467	-0.467000	-10.957297
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	2	2	current-first	4386	3859	-527	-0.527000	-12.015504
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	2	3	alternative-first	4843	3988	-855	-0.855000	-17.654346
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	2	4	current-first	4609	3873	-736	-0.736000	-15.968757
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	2	1	alternative-first	3964	3529	-435	-0.435000	-10.973764
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	2	2	current-first	4013	3637	-376	-0.376000	-9.369549
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	2	3	alternative-first	4016	3500	-516	-0.516000	-12.848606
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	2	4	current-first	3940	3621	-319	-0.319000	-8.096447
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	3	1	alternative-first	4025	3503	-522	-0.522000	-12.968944
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	3	2	current-first	3953	3502	-451	-0.451000	-11.409056
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	3	3	alternative-first	4173	3499	-674	-0.674000	-16.151450
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	3	4	current-first	3964	3476	-488	-0.488000	-12.310797
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	3	1	alternative-first	4205	3902	-303	-0.303000	-7.205707
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	3	2	current-first	4289	3903	-386	-0.386000	-8.999767
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	3	3	alternative-first	4215	3891	-324	-0.324000	-7.686833
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	6	3	4	current-first	4293	3911	-382	-0.382000	-8.898206
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	1	1	alternative-first	3983	3612	-371	-0.371000	-9.314587
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	1	2	current-first	4031	3527	-504	-0.504000	-12.503101
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	1	3	alternative-first	4001	3500	-501	-0.501000	-12.521870
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	1	4	current-first	3998	3598	-400	-0.400000	-10.005003
