rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,218896,6,1,8,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r1,c3,c4,r3,r4,c2)","r1=R12;c1=int:18;c2=int:1;r2=R8;c3=int:21;c4=int:6;r3=R7;r4=R13","benchmark_awfy_richards_noopt",700
173,5007,1,1,5,candidate,"IDIV_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1)","r1=R1;r2=R2;c1=int:2;r3=R9;c2=int:7","benchmark_awfy_richards_noopt",1999
174,5007,1,1,6,candidate,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r2,r3,c3)","r1=R4;c1=int:0;c2=label@2022;r2=R2;r3=R9;c3=int:7","benchmark_awfy_richards_noopt",1988
175,5007,1,1,6,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LOAD_REG_INT(r4,c2)","r1=R2;r2=R9;c1=int:7;r3=R1;r4=R7;c2=int:4","benchmark_awfy_richards_noopt",2003
176,4992,1,1,4,candidate,"IDIV_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | IXOR_REG_REG_INT(r1,r1,c2)","r1=R5;r2=R6;c1=int:2;c2=int:53256","benchmark_awfy_richards_noopt",2026
177,4992,1,1,6,candidate,"IXOR_REG_REG_INT(r1,r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LOAD_REG_INT(r3,c3)","r1=R5;c1=int:53256;r2=R9;c2=int:7;r3=R7;c3=int:5","benchmark_awfy_richards_noopt",2032
178,4992,1,1,5,candidate,"UNLINK_REG(r1) | IXOR_REG_REG_INT(r2,r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r2)","r1=R6;r2=R5;c1=int:53256;r3=R9;c2=int:7","benchmark_awfy_richards_noopt",2030
179,2327,1,1,11,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r3,c2,c3,r7,r5,c4)","c1=label@2357;r1=R9;r2=R11;r3=R29;c2=int:5;c3=int:6;r4=R10;r5=R30;c4=int:1;r6=R18;r7=R17","benchmark_awfy_richards_noopt",2320
180,2327,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r1,r3) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R7;r2=R5;r3=R6;r4=R18;c1=int:14","benchmark_awfy_richards_noopt",2117
181,2327,1,1,5,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r1,c2)","r1=R5;r2=R7;c1=int:0;r3=R6;c2=int:3","benchmark_awfy_richards_noopt",2132
182,2327,1,1,5,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | INC_REG(r4) | BR_ID(c1)","r1=R15;r2=R6;r3=R16;r4=R7;c1=label@2143","benchmark_awfy_richards_noopt",2273
183,2327,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2)","r1=R5;c1=int:3;r2=R4;r3=R7;c2=label@2281","benchmark_awfy_richards_noopt",2140
184,2327,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r1,r2)","r1=R7;c1=int:0;r2=R5;c2=int:3;r3=R4","benchmark_awfy_richards_noopt",2137
185,2327,1,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2) | LOAD_REG_INT(r1,c1)","r1=R7;r2=R6;r3=R19;c1=int:0;r4=R5","benchmark_awfy_richards_noopt",2127
186,2327,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ISETUNLINKN_REG_REG_REG(r1,r4,r2) | INC_REG(r5)","r1=R15;r2=R16;r3=R19;c1=int:0;r4=R6;r5=R7","benchmark_awfy_richards_noopt",2268
187,2327,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | ISETUNLINKN_REG_REG_REG(r3,r4,r5) | BR_ID(c1)","r1=R17;r2=R18;r3=R10;r4=R20;r5=R11;c1=label@2389","benchmark_awfy_richards_noopt",2348
188,2327,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r2,r3,c1) | MINLINKATTR1_REG_REG_REG_INT(r1,r2,r4,c2)","r1=R7;r2=R6;r3=R18;c1=int:14;r4=R19;c2=int:0","benchmark_awfy_richards_noopt",2120
189,2325,1,1,11,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | LINKATTR1_REG_REG_INT(r6,r3,c5)","c1=label@2474;r1=R27;r2=R24;r3=R29;c2=int:5;c3=int:6;r4=R26;r5=R30;c4=int:1;r6=R22;c5=int:17","benchmark_awfy_richards_noopt",2436
190,2325,1,1,11,candidate,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c3,c4,r5,r6,c5)","r1=R27;r2=R0;c1=int:4;c2=label@2474;r3=R24;r4=R29;c3=int:5;c4=int:6;r5=R26;r6=R30;c5=int:1","benchmark_awfy_richards_noopt",2432
191,2325,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R9;r2=R12;r3=R11;r4=R26;r5=R29;c1=int:14","benchmark_awfy_richards_noopt",2651
192,2325,1,1,5,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | SETTP_REG_INT(r4,c1)","r1=R22;r2=R26;r3=R24;r4=R29;c1=int:256","benchmark_awfy_richards_noopt",2459
193,2325,1,1,7,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | MINLINKATTR1_REG_REG_REG_INT(r4,r2,r5,c2)","r1=R11;r2=R26;r3=R29;c1=int:14;r4=R27;r5=R4;c2=int:0","benchmark_awfy_richards_noopt",2654
194,2325,1,1,6,candidate,"UNLINK_REG(r1) | SETTP_REG_INT(r2,c1) | CALL2_REG_FUNC_REG_REG(r3,c2,r2,r4)","r1=R24;r2=R29;c1=int:256;r3=R23;c2=func@73736;r4=R4","benchmark_awfy_richards_noopt",2462
195,1521,2,1,6,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ISETATTR1_REG_INT_REG(r3,c3,r2)","c1=label@2097;r1=R4;r2=R2;c2=int:3;r3=R18;c3=int:27","benchmark_awfy_richards_noopt",2085
196,1521,2,1,5,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LOAD_REG_INT(r3,c2)","r1=R5;c1=label@2097;r2=R4;r3=R2;c2=int:3","benchmark_awfy_richards_noopt",2083
197,1164,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | BR_ID(c3)","r1=R2;c1=int:3;r2=R18;c2=int:27;c3=label@2104","benchmark_awfy_richards_noopt",2088
198,1163,1,1,7,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r4,c3)","r1=R18;c1=int:27;r2=R7;r3=R6;c2=int:15;r4=R19;c3=int:0","benchmark_awfy_richards_noopt",2100
199,1163,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LINKATTR1_REG_REG_INT(r3,r2,c3)","r1=R7;c1=int:2;r2=R18;c2=int:27;r3=R6;c3=int:15","benchmark_awfy_richards_noopt",2097
200,357,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r2,r1,c1) | IADD_REG_REG_INT(r3,r2,c2)","r1=R18;c1=int:26;r2=R9;r3=R8;c2=int:65","benchmark_awfy_richards_noopt",2180
201,357,1,1,4,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LINKATTR1_REG_REG_INT(r1,r2,c2)","r1=R9;c1=int:1;r2=R18;c2=int:26","benchmark_awfy_richards_noopt",2177
202,340,1,1,7,candidate,"BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c2)","c1=label@1044;r1=R7;r2=R1;r3=R0;r4=R5;r5=R9;c2=int:17","benchmark_awfy_richards_noopt",1022
203,340,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | BR_ID(c1)","r1=R0;r2=R6;r3=R5;c1=label@1018","benchmark_awfy_richards_noopt",1037
204,340,1,1,5,candidate,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ICOPY_REG_REG(r3,r2)","r1=R7;r2=R0;c1=int:0;c2=label@1044;r3=R1","benchmark_awfy_richards_noopt",1018
205,64,8,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r1,r3,c3)","r1=R4;r2=R9;c1=int:17;r3=R6;c2=int:9;r4=R5;c3=int:0","benchmark_awfy_richards_noopt",809
206,64,8,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r4,r1,c2) | UNLINK_REG(r1)","r1=R6;r2=R9;c1=int:9;r3=R5;r4=R4;c2=int:0","benchmark_awfy_richards_noopt",813
207,40,5,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | UNLINK_REG(r3) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2)","r1=R5;r2=R4;r3=R6;c1=int:0;r4=R7","benchmark_awfy_richards_noopt",874
208,24,3,1,8,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r3,r4,c2) | LINKATTR1_REG_REG_INT(r5,r4,c3)","r1=R4;r2=R6;c1=int:0;r3=R5;r4=R9;c2=int:11;r5=R7;c3=int:9","benchmark_awfy_richards_noopt",901
209,24,3,1,7,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKATTR1_REG_REG_INT(r3,r4,c1) | LINKATTR1_REG_REG_INT(r5,r4,c2)","r1=R5;r2=R10;r3=R4;r4=R9;c1=int:15;r5=R6;c2=int:9","benchmark_awfy_richards_noopt",824
210,24,4,1,9,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r1,r5,c3) | ISETUNLINKN_REG_REG_REG(r1,r6,r3)","r1=R10;r2=R14;r3=R8;r4=R12;c1=int:20;c2=int:6;r5=R13;c3=int:1;r6=R15","benchmark_awfy_richards_noopt",732
211,24,4,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ISETUNLINKN_REG_REG_REG(r3,r5,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c4,c2,r3,r4,c3)","r1=R8;r2=R12;c1=int:24;c2=int:6;r3=R10;r4=R13;c3=int:1;r5=R14;c4=int:20","benchmark_awfy_richards_noopt",724
212,24,3,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | UNLINK_REG(r3) | ISETUNLINKN_REG_REG_REG(r1,r4,r2)","r1=R5;r2=R4;r3=R6;c1=int:0;r4=R10","benchmark_awfy_richards_noopt",817
213,24,3,1,7,candidate,"UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r3,c1,r4) | LINKATTR1_REG_REG_INT(r4,r5,c2)","r1=R7;r2=R4;r3=R6;c1=int:0;r4=R5;r5=R9;c2=int:11","benchmark_awfy_richards_noopt",899
214,24,3,1,6,candidate,"UNLINK_REG(r1) | ISETUNLINKN_REG_REG_REG(r2,r3,r4) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R6;r2=R5;r3=R10;r4=R4;r5=R9;c1=int:15","benchmark_awfy_richards_noopt",822
215,12,12,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3)","r1=R9;c1=int:0;r2=R2;c2=int:7;r3=R17;c3=int:256","benchmark_awfy_richards_noopt",293
216,9,9,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3)","r1=R8;c1=int:1;r2=R9;c2=int:0;r3=R2;c3=int:7","benchmark_awfy_richards_noopt",356
217,8,1,1,7,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r2,r4,c2) | LINKATTR1_REG_REG_INT(r1,r4,c3)","r1=R7;r2=R5;c1=int:0;r3=R4;r4=R9;c2=int:10;c3=int:9","benchmark_awfy_richards_noopt",881
218,8,1,1,7,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r4,r5,c2) | RET_REG(r4)","r1=R4;r2=R6;c1=int:0;r3=R5;r4=R7;r5=R9;c2=int:9","benchmark_awfy_richards_noopt",961
219,8,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | LINKATTR1_REG_REG_INT(r2,r1,c1)","r1=R9;c1=int:9;r2=R6;r3=R4;c2=int:17","benchmark_awfy_richards_noopt",805
220,8,1,1,7,candidate,"UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r3,c1,r4) | LINKATTR1_REG_REG_INT(r1,r5,c2)","r1=R7;r2=R4;r3=R6;c1=int:0;r4=R5;r5=R9;c2=int:9","benchmark_awfy_richards_noopt",959
221,7,7,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r2,c2) | ISETATTR1_REG_INT_REG(r1,c3,r2)","r1=R0;c1=int:1;r2=R2;c2=int:0;c3=int:9","benchmark_awfy_richards_noopt",217
222,7,7,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c2)","r1=R2;c1=int:0;r2=R1;r3=R7;c2=int:1","benchmark_awfy_richards_noopt",58
223,6,1,1,8,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r2,r5,c3)","r1=R7;r2=R10;r3=R8;r4=R12;c1=int:24;c2=int:6;r5=R13;c3=int:1","benchmark_awfy_richards_noopt",718
224,6,1,1,6,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | ISETATTR1_REG_INT_REG(r4,c1,r5) | RET()","r1=R10;r2=R18;r3=R8;r4=R12;c1=int:22;r5=R13","benchmark_awfy_richards_noopt",780
225,6,1,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ISETUNLINKN_REG_REG_REG(r3,r5,r1) | ISETATTR1_REG_INT_REG(r2,c4,r4)","r1=R8;r2=R12;c1=int:19;c2=int:6;r3=R10;r4=R13;c3=int:1;r5=R18;c4=int:22","benchmark_awfy_richards_noopt",772
226,6,1,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c4) | IGETUNLINK_REG_REG(r3,r5)","r1=R8;r2=R12;c1=int:21;c2=int:6;r3=R7;r4=R13;c3=int:1;r5=R10;c4=int:22","benchmark_awfy_richards_noopt",706
227,6,6,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c2)","r1=R7;c1=int:0;r2=R8;c2=int:1;r3=R9","benchmark_awfy_richards_noopt",312
228,6,6,1,5,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2)","r1=R2;c1=int:7;r2=R17;c2=int:256;r3=R3","benchmark_awfy_richards_noopt",296
229,6,1,1,10,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c3,c4,r3,r4,c2) | LINKATTR1_REG_REG_INT(r5,r2,c5)","c1=int:18;c2=int:1;r1=R8;r2=R12;c3=int:21;c4=int:6;r3=R7;r4=R13;r5=R10;c5=int:22","benchmark_awfy_richards_noopt",702
230,6,1,1,9,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | ISETUNLINKN_REG_REG_REG(r4,r6,r2)","r1=R7;r2=R8;r3=R12;c1=int:24;c2=int:6;r4=R10;r5=R13;c3=int:1;r6=R14","benchmark_awfy_richards_noopt",721
231,5,5,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c1)","r1=R4;c1=int:1;r2=R5;c2=int:1000;r3=R7","benchmark_awfy_richards_noopt",347
232,5,5,1,7,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | CALL4_REG_FUNC_REG_REG_REG_REG(r3,c3,r2,r3,r4,r1)","r1=R9;c1=int:1;r2=R17;c2=int:256;r3=R0;c3=func@20032;r4=R8","benchmark_awfy_richards_noopt",334
233,5,5,1,6,candidate,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2)","r1=R17;r2=R3;r3=R7;c1=int:0;r4=R8;c2=int:1","benchmark_awfy_richards_noopt",309
234,4,4,1,5,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LOAD_REG_INT(r1,c3)","r1=R2;c1=int:0;r2=R0;c2=int:6;c3=int:1","benchmark_awfy_richards_noopt",235
235,4,4,1,4,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1)","r1=R4;c1=int:0;r2=R5;r3=R6","benchmark_awfy_richards_noopt",278
236,3,3,1,4,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LOAD_REG_INT(r1,c1)","r1=R2;c1=int:0;r2=R0;c2=int:1","benchmark_awfy_richards_noopt",214
237,3,3,1,8,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | CALL4_REG_FUNC_REG_REG_REG_REG(r3,c3,r2,r4,r5,r1)","r1=R9;c1=int:1;r2=R17;c2=int:256;r3=R0;c3=func@20032;r4=R7;r5=R8","benchmark_awfy_richards_noopt",318
238,3,3,1,6,candidate,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | CALL_REG_FUNC_REG(r3,c2,r4)","r1=R17;c1=int:256;r2=R3;r3=R10;c2=func@19208;r4=R2","benchmark_awfy_richards_noopt",299
239,3,3,1,5,candidate,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4)","r1=R17;c1=int:256;r2=R3;r3=R6;r4=R0","benchmark_awfy_richards_noopt",365
240,3,3,1,7,candidate,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | CALL_REG_FUNC_REG(r5,c1,r6)","r1=R3;r2=R17;r3=R6;r4=R0;r5=R11;c1=func@19208;r6=R2","benchmark_awfy_richards_noopt",368
241,3,3,1,6,candidate,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1)","r1=R17;r2=R3;r3=R0;r4=R6;r5=R7;c1=int:0","benchmark_awfy_richards_noopt",378
242,2,2,1,4,candidate,"INE_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1)","r1=R8;r2=R9;c1=int:23246;c2=label@653","benchmark_awfy_richards_noopt",639
243,2,2,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | INE_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R9;r2=R17;c1=int:18;r3=R8;c2=int:23246","benchmark_awfy_richards_noopt",635
244,2,2,1,6,candidate,"LOAD_REG_INT(r1,c1) | ISUB_REG_INT_REG(r2,c2,r1) | ISETATTR1_REG_INT_REG(r3,c3,r2)","r1=R2;c1=int:1;r2=R3;c2=int:0;r3=R0;c3=int:22","benchmark_awfy_richards_noopt",192
245,2,2,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | SETTP_REG_INT(r3,c2)","r1=R8;c1=int:1;r2=R9;r3=R17;c2=int:256","benchmark_awfy_richards_noopt",315
246,2,2,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | CONCAT_REG_REG_REG(r1,r1,r2)","r1=R11;c1=string@12872;r2=R2","benchmark_awfy_richards_noopt",144
247,1,1,1,4,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c1)","r1=R3;c1=int:18;c2=int:1;r2=R1","benchmark_awfy_richards_noopt",676
248,1,1,1,5,candidate,"BRF_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c2) | STOI_REG(r2)","c1=label@39;r1=R5;r2=R6;r3=R0;c2=int:1","benchmark_awfy_richards_noopt",27
249,1,1,1,5,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | COPY_REG_REG(r2,r1) | BR_ID(c3)","c1=label@13;r1=R13;c2=int:512;r2=R0;c3=label@16","benchmark_awfy_richards_noopt",4
250,1,1,1,4,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R6;r2=R9;c1=int:0;c2=label@132","benchmark_awfy_richards_noopt",98
251,1,1,1,3,candidate,"CONCAT_REG_REG_REG(r1,r1,r2) | SAY_REG(r1) | SAY_STRING(c1)","r1=R11;r2=R1;c1=string@13576","benchmark_awfy_richards_noopt",160
252,1,1,1,4,candidate,"CONCAT_REG_REG_REG(r1,r1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r3)","r1=R11;r2=R2;c1=string@13160;r3=R1","benchmark_awfy_richards_noopt",150
253,1,1,1,5,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3)","r1=R11;c1=string@12720;r2=R3;c2=string@12872;r3=R2","benchmark_awfy_richards_noopt",140
254,1,1,1,4,candidate,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2)","r1=R5;r2=R3;r3=R11;c1=string@12720","benchmark_awfy_richards_noopt",136
255,1,1,1,5,candidate,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","r1=R5;r2=R0;c1=int:0;c2=int:1;c3=label@39","benchmark_awfy_richards_noopt",19
256,1,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R3;r2=R6;c1=int:1;c2=label@58","benchmark_awfy_richards_noopt",36
257,1,1,1,5,candidate,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R5;c1=int:1;c2=label@39;r2=R6;r3=R0","benchmark_awfy_richards_noopt",23
258,1,1,1,6,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | CALL_REG_FUNC(r4,c2)","r1=R4;r2=R7;r3=R3;c1=label@136;r4=R5;c2=func@8864","benchmark_awfy_richards_noopt",67
259,1,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | ISETATTR1_REG_INT_REG(r1,c3,r3)","r1=R0;c1=int:2;r2=R1;r3=R2;c2=int:0;c3=int:1","benchmark_awfy_richards_noopt",210
260,1,1,1,7,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | ISUB_REG_INT_REG(r4,c3,r3)","r1=R0;c1=int:22;r2=R3;r3=R2;c2=int:1;r4=R1;c3=int:0","benchmark_awfy_richards_noopt",199
261,1,1,1,3,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r1,c1)","r1=R13;c1=int:2;r2=R2","benchmark_awfy_richards_noopt",2779
262,1,1,1,5,candidate,"ISUB_REG_INT_REG(r1,c1,r2) | ISETATTR1_REG_INT_REG(r3,c2,r1) | LOAD_REG_INT(r2,c1)","r1=R1;c1=int:0;r2=R2;r3=R0;c2=int:2","benchmark_awfy_richards_noopt",206
263,1,1,1,6,candidate,"ISUB_REG_INT_REG(r1,c1,r2) | ISETATTR1_REG_INT_REG(r3,c2,r1) | LOAD_REG_INT(r2,c3)","r1=R3;c1=int:0;r2=R2;r3=R0;c2=int:22;c3=int:1","benchmark_awfy_richards_noopt",195
264,1,1,1,2,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r2,r1) | SAY_REG(r2)","r1=R1;r2=R11","benchmark_awfy_richards_noopt",158
265,1,1,1,3,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r2,r1) | SCONCAT_REG_REG_STRING(r2,r2,c1)","r1=R2;r2=R11;c1=string@13160","benchmark_awfy_richards_noopt",148
266,1,1,1,4,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2)","r1=R3;r2=R11;c1=string@12720;c2=string@12872","benchmark_awfy_richards_noopt",138
267,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1)","r1=R3;c1=int:1;r2=R5;r3=R0;c2=int:0","benchmark_awfy_richards_noopt",16
268,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2)","r1=R7;c1=int:1;r2=R4;r3=R3;c2=label@136","benchmark_awfy_richards_noopt",64
269,1,1,1,4,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | RET_REG(r2)","r1=R2;c1=int:0;r2=R0;c2=int:26","benchmark_awfy_richards_noopt",263
