entry,count_rank,total_time_rank,average_latency_rank,name,count,total_ns,average_ns,min_ns,max_ns,percent,status
rexxcps-opaque-heavy-stripped,16,21,86,ISUB_REG_REG_INT,305011,4664027,15,0,10417,1.116532,complete
rexxcps-opaque-heavy-stripped,17,20,86,LINKATTR1_REG_REG_INT,304870,4664678,15,0,9750,1.116688,complete
rexxcps-opaque-heavy-stripped,18,22,86,LOAD_REG_STRING,277586,4424335,15,0,7958,1.059152,complete
rexxcps-opaque-heavy-stripped,19,25,119,IMULT_REG_REG_INT,272223,3994314,14,0,9917,0.956208,complete
rexxcps-opaque-heavy-stripped,20,23,86,ILT_REG_REG_REG,268845,4208987,15,0,11792,1.007599,complete
rexxcps-opaque-heavy-stripped,21,27,86,IGT_REG_REG_INT,249033,3898348,15,0,10000,0.933234,complete
rexxcps-opaque-heavy-stripped,22,28,86,IEQ_REG_REG_REG,232254,3537168,15,0,8542,0.846771,complete
rexxcps-opaque-heavy-stripped,23,31,86,STRLEN_REG_REG,217040,3275189,15,0,12709,0.784055,complete
rexxcps-opaque-heavy-stripped,24,29,86,LINKATTR1_REG_REG_REG,214792,3434012,15,0,6375,0.822076,complete
rexxcps-opaque-heavy-stripped,25,30,72,SETTP_REG_INT,208433,3401332,16,0,183542,0.814253,complete
rexxcps-opaque-heavy-stripped,26,26,59,MINATTRS_REG_REG_INT,195374,3925808,20,0,25625,0.939808,complete
rexxcps-opaque-heavy-stripped,27,33,119,BCTP_ID_REG,193955,2802920,14,0,5667,0.670997,complete
rexxcps-opaque-heavy-stripped,28,32,72,IGTE_REG_REG_REG,184800,2967240,16,0,14417,0.710334,complete
rexxcps-opaque-heavy-stripped,29,34,86,INE_REG_REG_INT,173814,2707112,15,0,7542,0.648062,complete
rexxcps-opaque-heavy-stripped,30,17,43,SWAP_REG_REG,173434,5735405,33,0,12750,1.373012,complete
rexxcps-opaque-heavy-stripped,31,38,86,ILTE_REG_REG_INT,142800,2272393,15,0,8125,0.543993,complete
rexxcps-opaque-heavy-stripped,32,41,86,IMOD_REG_REG_REG,129423,1985008,15,0,8042,0.475196,complete
rexxcps-opaque-heavy-stripped,33,1,9,COPY_REG_REG,109171,48912777,448,0,40584,11.709342,complete
rexxcps-opaque-heavy-stripped,34,43,72,ISUB_REG_REG_REG,106429,1741808,16,0,80000,0.416975,complete
rexxcps-opaque-heavy-stripped,35,44,72,SETNUMCAS_INT,102121,1657424,16,0,7292,0.396775,complete
rexxcps-opaque-heavy-stripped,35,46,86,SETNUMSTD_INT,102121,1551215,15,0,375,0.371349,complete
rexxcps-opaque-heavy-stripped,35,48,119,SETNUMFUZ_INT,102121,1516362,14,0,7333,0.363005,complete
rexxcps-opaque-heavy-stripped,38,37,54,SETNUMDGTS_INT,102119,2367929,23,0,9917,0.566864,complete
rexxcps-opaque-heavy-stripped,38,47,86,SETNUMFRM_INT,102119,1544977,15,0,7125,0.369856,complete
rexxcps-opaque-heavy-stripped,40,4,16,CALL_REG_FUNC_REG,99311,24666640,248,41,20500,5.905004,complete
rexxcps-opaque-heavy-stripped,41,45,86,ILTE_REG_REG_REG,98000,1565841,15,0,9375,0.374850,complete
rexxcps-opaque-heavy-stripped,42,40,57,SETSTRPOS_REG_REG,93850,2007038,21,0,9708,0.480469,complete
rexxcps-opaque-heavy-stripped,42,42,59,SUBSTRING_REG_REG_REG,93850,1946327,20,0,8708,0.465936,complete
rexxcps-opaque-heavy-stripped,44,49,86,IGTE_REG_REG_INT,92408,1463526,15,0,9000,0.350357,complete
rexxcps-opaque-heavy-stripped,45,51,86,BRTPANDT_ID_REG_INT,79855,1202706,15,0,9541,0.287919,complete
rexxcps-opaque-heavy-stripped,46,35,40,RNE_REG_REG_STRING,64403,2607987,40,0,16875,0.624332,complete
rexxcps-opaque-heavy-stripped,47,24,29,RET_REG,62978,4110351,65,0,15500,0.983986,complete
rexxcps-opaque-heavy-stripped,48,36,38,REQ_REG_REG_REG,61724,2550963,41,0,11000,0.610681,complete
rexxcps-opaque-heavy-stripped,49,39,36,REQ_REG_REG_STRING,51981,2242475,43,0,39417,0.536831,complete
rexxcps-opaque-heavy-stripped,50,58,86,BNE_ID_REG_INT,43496,662583,15,0,13417,0.158617,complete
rexxcps-opaque-heavy-stripped,51,60,86,GETATTRS_REG_REG_INT,37817,578429,15,0,1250,0.138471,complete
rexxcps-opaque-heavy-stripped,52,55,57,STRUPPER_REG_REG,36477,791616,21,0,6125,0.189507,complete
rexxcps-opaque-heavy-stripped,53,62,86,BRTF_ID_ID_REG,35058,531090,15,0,9791,0.127139,complete
rexxcps-opaque-heavy-stripped,54,61,72,NOT_REG_REG,33559,537214,16,0,8500,0.128605,complete
rexxcps-opaque-heavy-stripped,55,53,47,RET,32137,913532,28,0,2708,0.218693,complete
