rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
88,10,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | COPY_REG_REG(r4,r3) | INE_REG_REG_INT(r1,r3,c2)","r1=R31;r2=R5;c1=int:1;r3=R9;r4=R2;c2=int:8191","benchmark_awfy_towers_opt",304
89,10,1,1,8,candidate,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRT_ID_REG(c2,r2) | SETATTRS_REG_INT(r5,c3)","r1=R12;c1=int:-1;r2=R11;r3=R7;r4=R10;c2=label@165;r5=R13;c3=int:4","benchmark_awfy_towers_opt",114
90,10,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | COPY_REG_REG(r3,r2) | LOAD_REG_INT(r1,c3)","r1=R7;c1=int:0;r2=R6;c2=int:1;r3=R5;c3=int:13","benchmark_awfy_towers_opt",98
91,10,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LOAD_REG_INT(r3,c1) | ISETATTR1_REG_INT_REG(r2,c3,r3)","r1=R8;c1=int:0;r2=R6;c2=int:3;r3=R7;c3=int:5","benchmark_awfy_towers_opt",77
92,10,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LOAD_REG_INT(r3,c3) | LOAD_REG_INT(r4,c1)","r1=R16;c1=int:0;r2=R5;c2=int:1;r3=R21;c3=int:12;r4=R22","benchmark_awfy_towers_opt",167
93,10,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | ILT_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c3,r3)","r1=R10;c1=int:0;r2=R12;c2=int:-1;r3=R11;r4=R7;c3=label@165","benchmark_awfy_towers_opt",111
94,10,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | ILT_REG_REG_REG(r4,r1,r2)","r1=R7;c1=int:13;r2=R10;c2=int:0;r3=R12;c3=int:-1;r4=R11","benchmark_awfy_towers_opt",108
95,10,1,1,5,candidate,"NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r1,r2)","r1=R26;c1=string@11;r2=R23;r3=R5;c2=int:2","benchmark_awfy_towers_opt",193
96,10,1,1,6,candidate,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | LOAD_REG_INT(r2,c3) | ISETATTR1_REG_INT_REG(r1,c4,r2)","r1=R6;c1=int:8;c2=string@8;r2=R8;c3=int:0;c4=int:3","benchmark_awfy_towers_opt",71
97,10,1,1,6,candidate,"SETOBJTYPE_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | ISETATTR1_REG_INT_REG(r1,c3,r2) | LOAD_REG_INT(r3,c2)","r1=R6;c1=string@8;r2=R8;c2=int:0;c3=int:3;r3=R7","benchmark_awfy_towers_opt",74
98,10,1,1,5,candidate,"SETOBJUNINIT_REG_STRING(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r1,r2) | UNLINK_REG(r2)","r1=R26;c1=string@11;r2=R23;r3=R5;c2=int:2","benchmark_awfy_towers_opt",195
99,10,1,1,8,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LOAD_REG_INT(r4,c2) | LOAD_REG_INT(r5,c3)","r1=R22;r2=R5;c1=int:1;r3=R21;r4=R29;c2=int:12;r5=R30;c3=int:2","benchmark_awfy_towers_opt",279
100,10,1,1,4,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1)","r1=R23;r2=R5;c1=int:2;r3=R21","benchmark_awfy_towers_opt",228
101,10,1,1,6,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | BRTF_ID_ID_REG(c2,c3,r3)","r1=R23;r2=R26;c1=int:2;r3=R22;c2=label@218;c3=label@243","benchmark_awfy_towers_opt",205
102,1,1,1,4,candidate,"APPEND_REG_REG(r1,r2) | SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R31;r2=R2;c1=string@21504;c2=int:0","benchmark_awfy_towers_opt",360
103,1,1,1,6,candidate,"BRF_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c2) | STOI_REG(r2) | IGETUNLINK_REG_REG(r4,r2)","c1=label@39;r1=R4;r2=R5;r3=R0;c2=int:1;r4=R1","benchmark_awfy_towers_opt",27
104,1,1,1,5,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3) | APPEND_REG_REG(r1,r3)","r1=R31;c1=string@20944;r2=R1;c2=string@21096;r3=R2","benchmark_awfy_towers_opt",350
105,1,1,1,5,candidate,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2) | SCONCAT_REG_REG_STRING(r3,r3,c2)","r1=R5;r2=R1;r3=R31;c1=string@20944;c2=string@21096","benchmark_awfy_towers_opt",346
106,1,1,1,6,candidate,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1) | MINLINKATTR1_REG_REG_INT(r3,r2,c2)","r1=R4;r2=R0;c1=int:0;c2=int:1;c3=label@39;r3=R5","benchmark_awfy_towers_opt",19
107,1,1,1,5,candidate,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c1) | STOI_REG(r2)","r1=R4;c1=int:1;c2=label@39;r2=R5;r3=R0","benchmark_awfy_towers_opt",23
108,1,1,1,3,candidate,"ITOS_REG(r1) | APPEND_REG_REG(r2,r1) | SAY_REG(r2) | SAY_STRING(c1)","r1=R2;r2=R31;c1=string@21504","benchmark_awfy_towers_opt",358
109,1,1,1,5,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2) | ITOS_REG(r3)","r1=R1;r2=R31;c1=string@20944;c2=string@21096;r3=R2","benchmark_awfy_towers_opt",348
110,1,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c3,r2)","r1=R1;c1=int:1;r2=R4;r3=R0;c2=int:0;c3=label@39","benchmark_awfy_towers_opt",16
111,1,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2) | SETATTRS_REG_INT(r4,c3)","r1=R4;c1=int:1;r2=R3;r3=R1;c2=label@346;r4=R6;c3=int:8","benchmark_awfy_towers_opt",61
112,1,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4) | BRT_ID_REG(c3,r3)","r1=R2;c1=int:0;r2=R4;c2=int:1;r3=R3;r4=R1;c3=label@346","benchmark_awfy_towers_opt",58
113,1,1,1,4,candidate,"MINLINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | IGETUNLINK_REG_REG(r3,r1) | ILT_REG_REG_INT(r1,r3,c1)","r1=R5;r2=R0;c1=int:1;r3=R1","benchmark_awfy_towers_opt",30
114,1,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | BRTPANDT_ID_REG_INT(c3,r1,c4) | COPY_REG_REG(r2,r1) | BR_ID(c5)","c1=int:18;c2=int:1;c3=label@13;r1=R33;c4=int:512;r2=R0;c5=label@16","benchmark_awfy_towers_opt",0
115,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | APPEND_REG_REG(r1,r2) | SAY_REG(r1)","r1=R31;c1=string@21096;r2=R2","benchmark_awfy_towers_opt",354
116,1,1,1,4,candidate,"STOI_REG(r1) | IGETUNLINK_REG_REG(r2,r1) | ILT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R5;r2=R1;c1=int:1;c2=label@58","benchmark_awfy_towers_opt",34
